# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq2_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 2
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq2_2.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq2_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.397427
# Diagonal elements of inverse mass matrix:
# 0.875324, 0.00129356, 0.439989, 0.326763
-34.919,0.99928,0.23409,4,15,0,36.1724,0.807396,-0.855484,-0.772458,-0.975295,3.16846,10.2174,0.766574,2.85831
-35.7267,0.752509,0.512114,3,7,0,37.0493,1.54296,-0.900735,0.194565,-0.638907,3.26653,9.92831,0.798265,2.90409
-39.0099,0.917694,0.558413,2,3,0,39.6688,1.57516,-0.805117,-0.449541,-0.510629,3.27089,10.5392,0.777014,2.92174
-37.1982,0.914102,0.559027,3,7,0,41.3686,-2.30526,-0.95411,0.318872,-0.155029,2.78504,9.58729,0.802432,2.97123
-35.2457,0.998879,0.342835,4,15,0,38.2342,0.71194,-0.929394,-0.567934,-1.10037,3.15595,9.74521,0.77317,2.84148
-35.315,0.99926,0.476676,4,23,0,36.3754,0.171036,-0.946265,1.14167,0.722937,3.086,9.63742,0.830572,3.09703
-34.8182,0.991217,0.45105,3,7,0,36.0161,-1.12018,-0.909167,0.759622,0.717143,2.92522,9.87445,0.817385,3.09618
-35.4583,0.986204,0.323351,4,15,0,36.6554,0.704436,-0.917129,-1.50254,-1.23869,3.15497,9.82357,0.743485,2.82297
-33.8416,0.998348,0.410566,3,7,0,35.9183,-0.498127,-0.889104,-0.0849319,-0.0567495,3.00161,10.0026,0.788973,2.98505
