# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 2
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_2.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.147008
# Diagonal elements of inverse mass matrix:
# 0.0134197, 1.37204, 0.0578733, 0.0191737
-50.5848,0.995876,0.108286,4,23,0,51.4469,0.0613524,-0.252846,1.24713,0.0807427,3.06135,13.6669,0.813664,3.08074
-53.8354,0.756825,0.140536,2,3,0,54.236,0.0760699,0.196505,1.30179,0.0580404,3.07607,16.9247,0.827192,3.05804
-52.5764,0.987093,0.128307,2,7,0,54.8112,0.126719,-0.393775,1.23119,0.0898467,3.12672,12.6451,0.809721,3.08985
-52.7746,0.975892,0.130941,2,3,0,53.6528,0.130124,-0.435219,1.23085,0.0672613,3.13012,12.3447,0.809634,3.06726
-52.0129,0.996647,0.158514,4,31,0,53.3183,0.060976,0.0102433,1.22126,-0.00442135,3.06098,15.5743,0.807263,2.99558
-52.3328,0.995975,0.0865153,3,7,0,52.5675,0.0610914,0.0866192,1.2166,-0.00538008,3.06109,16.128,0.806108,2.99462
-53.5378,0.949633,0.0879732,4,23,0,55.8499,0.0507704,-0.459031,1.12743,0.0095052,3.05077,12.172,0.784039,3.00951
-52.4178,0.985318,0.0933649,5,31,0,60.9174,-0.0707735,-0.281012,1.19688,-0.0121529,2.92923,13.4627,0.801228,2.98785
-52.5847,0.993786,0.134509,5,31,0,53.4622,0.050737,-0.219043,1.37013,0.264641,3.05074,13.9119,0.844107,3.26464
-51.8445,0.978813,0.0738794,4,23,0,54.4714,0.0370483,-0.579008,1.41128,0.234352,3.03705,11.3022,0.854291,3.23435
-51.3987,0.93421,0.169859,4,15,0,53.3277,-0.0153757,-0.175172,1.2665,0.0659165,2.98462,14.23,0.818458,3.06592
-52.1282,0.993023,0.0752672,4,31,0,52.4754,-0.0023504,-0.673394,1.16895,0.0284828,2.99765,10.6179,0.794316,3.02848
-51.136,0.952185,0.201855,3,15,0,54.6262,0.0547697,-0.183992,1.39412,0.23397,3.05477,14.1661,0.850045,3.23397
-50.7008,0.992118,0.115579,4,31,0,52.2573,0.0479668,-0.164675,1.24881,0.0863124,3.04797,14.3061,0.814081,3.08631
-53.1774,0.936881,0.211873,4,15,0,53.3176,-0.157156,-0.989674,1.17412,0.0103492,2.84284,8.32486,0.795596,3.01035
-52.4154,0.981539,0.117571,2,7,0,55.4987,-0.127527,-1.06847,1.18602,0.00949575,2.87247,7.75356,0.79854,3.0095
-52.6965,0.996679,0.0915726,3,7,0,52.9324,-0.140679,-1.08807,1.18551,-0.0167086,2.85932,7.6115,0.798413,2.98329
-52.2152,0.995502,0.0803394,4,15,0,53.2105,-0.0910624,-1.00341,1.17047,-0.0179383,2.90894,8.22524,0.794691,2.98206
-52.3135,0.986539,0.102006,4,23,0,56.7028,0.0967183,-0.499556,1.34502,0.16701,3.09672,11.8782,0.837891,3.16701
-51.5533,0.976545,0.174088,3,11,0,53.2361,0.0196285,-0.0461454,1.30478,0.13231,3.01963,15.1654,0.827934,3.13231
-51.8803,0.975455,0.15163,3,11,0,53.0792,0.0853757,-0.186961,1.19675,0.0682415,3.08538,14.1445,0.801196,3.06824
-52.9845,0.999915,0.126318,5,31,0,53.7759,0.22496,0.191758,1.27203,0.149416,3.22496,16.8902,0.819828,3.14942
-58.4384,0.838721,0.0820276,3,7,0,59.2082,0.212893,0.466298,1.25789,0.190303,3.21289,18.8807,0.816327,3.1903
-53.1182,1,0.0795443,3,7,0,58.7636,0.193232,-0.195587,1.32569,0.148779,3.19323,14.082,0.833109,3.14878
-52.0574,0.992727,0.157368,4,31,0,53.4913,0.193485,0.268684,1.26916,0.109108,3.19349,17.448,0.819117,3.10911
-51.8327,0.991184,0.162827,1,3,0,52.1741,0.203235,0.132671,1.27605,0.105311,3.20324,16.4619,0.820824,3.10531
-52.7649,0.993265,0.174866,4,15,0,53.1952,-0.122111,-0.945805,1.43516,0.251988,2.87789,8.64291,0.860202,3.25199
-54.743,0.95367,0.147668,3,7,0,55.1125,-0.170315,-1.17095,1.44416,0.304321,2.82969,7.01061,0.86243,3.30432
-56.1516,0.981756,0.206556,4,15,0,58.3733,-0.178701,-1.68336,1.47205,0.291719,2.8213,3.29565,0.869333,3.29172
-57.6419,0.822268,0.189934,2,3,0,58.7602,-0.221669,-1.70964,1.47913,0.325204,2.77833,3.10509,0.871085,3.3252
-55.4975,0.947191,0.0991304,4,31,0,59.4875,-0.119877,-1.57647,1.46074,0.318028,2.88012,4.07062,0.866534,3.31803
-52.5068,0.991612,0.145674,5,31,0,56.7203,-0.139767,-0.731809,1.20652,-0.00230179,2.86023,10.1944,0.803614,2.9977
-52.9654,0.939578,0.182134,4,15,0,54.4225,-0.0352174,-0.467966,1.07264,-0.089208,2.96478,12.1072,0.770479,2.91079
-52.305,0.801759,0.141834,2,7,0,55.6501,-0.0349243,-0.533368,1.13974,-0.0875539,2.96508,11.6331,0.787085,2.91245
-52.3295,0.589547,0.201195,4,15,0,56.2845,-0.0276532,-0.282988,1.43378,0.279805,2.97235,13.4483,0.85986,3.27981
-53.0212,0.897536,0.178161,3,15,0,58.6717,-0.158154,-1.16351,1.36357,0.173004,2.84185,7.06455,0.842484,3.173
-52.1407,0.99332,0.0908356,4,23,0,53.8074,-0.0546402,-0.991043,1.33463,0.189691,2.94536,8.31494,0.835321,3.18969
-50.6922,0.980699,0.142154,4,23,0,53.1079,0.0769345,-0.238148,1.29043,0.105597,3.07693,13.7734,0.824381,3.1056
-52.8286,0.853613,0.108121,4,31,0,54.4727,0.023035,-0.870709,1.37198,0.212214,3.02303,9.18736,0.844564,3.21221
-50.8807,0.975001,0.134011,3,15,0,55.2224,0.0242236,-0.133993,1.2623,0.0728741,3.02422,14.5285,0.81742,3.07287
-51.8176,0.981577,0.10162,5,31,0,53.5945,0.0720887,-0.472574,1.3995,0.23947,3.07209,12.0738,0.851377,3.23947
-51.3669,0.959304,0.0879643,5,39,0,54.4195,0.108472,-0.106604,1.27161,0.137643,3.10847,14.7271,0.819724,3.13764
-50.8941,0.998065,0.100893,5,47,0,51.6593,0.10264,-0.176929,1.29453,0.140486,3.10264,14.2173,0.825397,3.14049
-53.1698,0.977391,0.150643,5,31,0,53.4235,-0.138699,-1.38483,1.24945,0.0634614,2.8613,5.45995,0.814239,3.06346
-52.1778,0.990912,0.0826889,5,31,0,55.3321,-0.00735625,-0.1212,1.3982,0.214398,2.99264,14.6213,0.851055,3.2144
-53.0046,0.600219,0.189376,4,23,0,55.6749,-0.0281161,-0.0987686,1.20351,-0.0274236,2.97188,14.7839,0.802868,2.97258
-55.8701,0.769085,0.148889,2,3,0,56.5235,-0.0407864,0.123895,1.17706,-0.028834,2.95921,16.3982,0.796323,2.97117
-55.4748,0.993845,0.103513,4,31,0,57.8644,-0.186926,-0.614099,1.19704,0.0281315,2.81307,11.0478,0.801266,3.02813
-52.9518,0.996951,0.0875372,4,31,0,56.268,-0.121579,-1.02638,1.208,-0.0204213,2.87842,8.05872,0.803979,2.97958
-52.8479,0.992956,0.0984702,5,39,0,55.0491,0.111265,-0.315094,1.48129,0.332962,3.11126,13.2156,0.87162,3.33296
-52.0036,0.979917,0.0950257,5,31,0,54.9726,0.0887033,0.0467599,1.27558,0.144,3.0887,15.839,0.820707,3.144
