# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 1
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_1.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.151667
# Diagonal elements of inverse mass matrix:
# 0.0106922, 0.441713, 0.0482949, 0.0179387
-52.2919,0.991901,0.115565,3,7,0,58.2497,0.210201,0.265392,1.22063,0.0326346,3.2102,17.4241,0.807107,3.03263
-52.5681,0.966502,0.10494,4,15,0,53.5331,0.216342,0.187499,1.22159,0.0203517,3.21634,16.8594,0.807343,3.02035
-51.6109,0.898313,0.207177,4,15,0,53.6955,0.186712,0.0963103,1.28414,0.110703,3.18671,16.1982,0.822825,3.1107
-52.7647,0.974412,0.0986902,3,7,0,52.9697,0.200891,0.363818,1.27566,0.12453,3.20089,18.1377,0.820725,3.12453
-52.6894,0.998391,0.204719,3,7,0,53.3346,0.238512,0.184934,1.31686,0.127825,3.23851,16.8408,0.830923,3.12782
-51.9573,0.998983,0.13704,4,31,0,54.4371,-0.0362447,-0.62531,1.45747,0.294227,2.96376,10.9665,0.865724,3.29423
-54.2396,0.832947,0.162693,3,11,0,55.5669,0.0132557,-0.949479,1.43795,0.239858,3.01326,8.61628,0.860894,3.23986
-53.5772,0.994472,0.218166,2,7,0,54.6389,-0.0102096,-0.85145,1.41567,0.308246,2.98979,9.32699,0.855378,3.30825
-54.624,0.904344,0.183716,3,11,0,55.5293,-0.0203359,-0.916308,1.44964,0.217276,2.97966,8.85676,0.863786,3.21728
-55.2757,0.974135,0.152792,4,23,0,56.8054,-0.0230705,-0.087585,1.33464,0.0603409,2.97693,14.865,0.835324,3.06034
-53.8972,0.980041,0.219579,3,11,0,56.0941,-0.0369667,-0.200964,1.34124,0.0832925,2.96303,14.043,0.836956,3.08329
-51.2221,0.94892,0.19165,2,3,0,54.5354,-0.0437782,-0.318436,1.29479,0.115418,2.95622,13.1913,0.82546,3.11542
-50.8748,0.979909,0.125645,4,23,0,53.3213,0.0196255,-0.185069,1.25706,0.0952068,3.01963,14.1582,0.816123,3.09521
-52.5291,0.99414,0.138326,4,31,0,52.6494,-0.117109,-1.1757,1.2629,0.0601185,2.88289,6.97619,0.817567,3.06012
-54.5682,0.96362,0.163013,4,15,0,55.2524,-0.161447,-1.47119,1.38034,0.164683,2.83855,4.83389,0.846633,3.16468
-51.938,0.986679,0.131438,4,15,0,55.1956,-0.079327,-0.8369,1.21957,0.0768785,2.92067,9.43247,0.806843,3.07688
-55.8282,0.940883,0.193715,3,7,0,56.4079,0.00246054,-1.22805,1.19634,-0.0130186,3.00246,6.59666,0.801093,2.98698
-54.4168,0.838324,0.174113,3,15,0,59.1324,-0.194259,-0.904871,1.36503,0.149288,2.80574,8.93969,0.842845,3.14929
-51.9109,0.984695,0.190107,3,7,0,55.8433,-0.105426,-0.737165,1.36952,0.205053,2.89457,10.1556,0.843955,3.20505
