# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 3
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_3.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMC_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.171012
# Diagonal elements of inverse mass matrix:
# 0.0109699, 0.213975, 0.0466739, 0.0141139
-50.864,0.999978,0.192551,4,31,0,51.1142,0.0264922,-0.396217,1.33164,0.185391,3.02649,12.6274,0.83458,3.18539
-50.6996,0.999754,0.1341,3,15,0,51.0395,0.0252829,-0.415445,1.32103,0.131314,3.02528,12.488,0.831954,3.13131
-51.0664,0.986708,0.155099,3,15,0,51.6372,0.0325818,-0.485474,1.3292,0.13515,3.03258,11.9803,0.833977,3.13515
-51.3798,0.942392,0.188191,3,15,0,54.6953,0.00971494,-0.473527,1.21724,0.00071269,3.00971,12.0669,0.806268,3.00071
-53.935,0.961132,0.137878,4,15,0,55.2777,-0.00419791,-0.948318,1.20545,-0.0171994,2.9958,8.6247,0.803348,2.9828
-53.82,0.96454,0.146419,5,31,0,57.3351,-0.134275,-0.597706,1.44162,0.235886,2.86573,11.1666,0.861802,3.23589
-53.9882,0.970417,0.193042,5,31,0,55.2819,-0.146108,-0.77799,1.44299,0.220645,2.85389,9.85957,0.862141,3.22064
-52.6907,0.990571,0.0886501,4,15,0,55.0333,-0.108594,-0.89459,1.39582,0.256659,2.89141,9.01422,0.850465,3.25666
-51.283,0.973547,0.226863,3,11,0,53.5434,0.0102556,-0.618059,1.34987,0.202216,3.01026,11.0191,0.839092,3.20222
-50.7854,0.99812,0.15892,3,15,0,51.9359,-1.11625e-005,-0.568905,1.30766,0.121966,2.99999,11.3754,0.828647,3.12197
-50.635,0.99665,0.177482,3,15,0,52.3627,0.0104815,-0.282029,1.30989,0.142881,3.01048,13.4553,0.829197,3.14288
-51.9641,0.956399,0.158908,4,23,0,53.3783,-0.0852229,-0.464394,1.17607,-0.0269483,2.91478,12.1331,0.796078,2.97305
-51.9897,0.932179,0.157835,4,15,0,52.9888,0.0456718,-0.539372,1.175,-0.0241267,3.04567,11.5895,0.795813,2.97587
-52.9789,0.974245,0.110069,5,47,0,54.2684,-0.139306,-0.714616,1.28363,0.134808,2.86069,10.319,0.822698,3.13481
-52.2851,0.986936,0.143635,2,3,0,53.3552,-0.129097,-0.776759,1.29433,0.138597,2.8709,9.8685,0.825347,3.1386
-51.6695,0.999828,0.123043,5,31,0,52.6286,0.0676984,0.0694056,1.19619,0.0101567,3.0677,16.0032,0.801057,3.01016
-50.8235,0.996844,0.110433,5,47,0,52.1572,0.0069939,-0.349371,1.36566,0.181354,3.00699,12.9671,0.843,3.18135
-51.3887,0.983394,0.124669,4,15,0,52.3548,0.0386597,-0.542906,1.37956,0.212158,3.03866,11.5639,0.84644,3.21216
-50.9028,0.998028,0.125776,3,7,0,51.6354,0.0245422,-0.400397,1.36123,0.209206,3.02454,12.5971,0.841905,3.20921
-52.6104,0.918781,0.230191,4,15,0,52.9953,0.185374,0.0866466,1.1735,0.0343581,3.18537,16.1282,0.795441,3.03436
-52.3591,0.935962,0.161781,4,15,0,54.468,0.209693,0.113457,1.20784,0.0190318,3.20969,16.3226,0.80394,3.01903
-50.979,0.794633,0.226384,3,11,0,53.8831,-0.0386665,-0.442698,1.28779,0.131495,2.96133,12.2904,0.823729,3.1315
-51.8836,0.995974,0.15375,4,31,0,52.6719,-0.0655456,-1.02974,1.30799,0.13418,2.93445,8.03438,0.828728,3.13418
-53.655,0.98067,0.130561,4,15,0,55.3129,-0.149119,-0.611391,1.38386,0.202235,2.85088,11.0674,0.847506,3.20223
-50.8221,0.999115,0.168827,3,15,0,54.2941,-0.0283161,-0.581843,1.33987,0.155982,2.97168,11.2816,0.836617,3.15598
-50.9869,0.96861,0.238412,2,3,0,51.038,-0.0284529,-0.591562,1.328,0.177648,2.97155,11.2112,0.833679,3.17765
-51.4683,0.98749,0.138471,5,31,0,51.7888,0.13962,-0.00899056,1.29935,0.160898,3.13962,15.4348,0.826589,3.1609
-52.4599,0.944809,0.192899,4,15,0,54.0083,-0.0182398,-0.460247,1.07953,-0.0952026,2.98176,12.1632,0.772184,2.9048
-52.7359,0.922871,0.185371,5,31,0,54.5055,-0.107901,-0.752593,1.45471,0.266662,2.8921,10.0437,0.865042,3.26666
-53.879,0.971367,0.112988,3,7,0,54.1826,-0.115377,-0.806564,1.41959,0.301072,2.88462,9.65241,0.85635,3.30107
-51.2582,0.925778,0.243608,3,15,0,55.5565,-0.0194053,-0.560375,1.32214,0.109329,2.98059,11.4373,0.832231,3.10933
-53.5701,0.927556,0.107233,4,23,0,54.2518,0.091449,-0.122891,1.34515,0.0904804,3.09145,14.609,0.837925,3.09048
-51.408,0.992107,0.148715,4,25,0,54.2689,-0.00534833,-0.399095,1.30752,0.0834417,2.99465,12.6066,0.828611,3.08344
-51.8051,0.987299,0.150299,4,31,0,53.2461,-0.0262796,-0.855201,1.33646,0.145086,2.97372,9.29979,0.835774,3.14509
-51.8051,0.753754,0.241393,2,7,0,54.447,-0.0262796,-0.855201,1.33646,0.145086,2.97372,9.29979,0.835774,3.14509
-54.4014,0.988628,0.106876,5,31,0,55.1559,-0.0862006,-1.42336,1.36178,0.155931,2.9138,5.18061,0.842041,3.15593
-53.2465,0.960694,0.207729,4,15,0,55.6755,-0.0818308,-1.27417,1.37869,0.201088,2.91817,6.26224,0.846225,3.20109
-51.832,0.958092,0.225969,5,31,0,53.9552,0.126167,0.0974052,1.18659,-0.0194575,3.12617,16.2062,0.79868,2.98054
-51.3465,0.956859,0.215088,4,15,0,52.4767,0.125167,-0.0307037,1.28124,0.142034,3.12517,15.2774,0.822108,3.14203
-52.8139,0.978524,0.249684,3,7,0,53.5736,0.177519,0.371724,1.28571,0.0888139,3.17752,18.195,0.823213,3.08881
-54.043,0.943737,0.12371,3,15,0,55.0487,0.26159,0.188917,1.25688,0.144576,3.26159,16.8696,0.816078,3.14458
-53.7653,0.957007,0.218532,4,31,0,55.0043,-0.131906,-1.17018,1.38407,0.156313,2.86809,7.01622,0.847556,3.15631
-52.519,0.873781,0.216555,2,7,0,55.8071,-0.0643493,-1.10957,1.33958,0.150422,2.93565,7.4556,0.836547,3.15042
-53.748,0.990959,0.179972,4,15,0,55.0855,-0.162398,-1.45368,1.23018,0.0308232,2.8376,4.96084,0.809469,3.03082
-52.0962,0.996727,0.248514,4,15,0,55.3597,-0.0815508,-0.545801,1.1327,-0.0503215,2.91845,11.5429,0.785344,2.94968
-51.941,0.999493,0.10422,4,15,0,52.6652,-0.017241,-0.619749,1.13958,-0.0666245,2.98276,11.0068,0.787046,2.93338
-52.4978,0.998856,0.153005,5,31,0,54.6279,0.189542,0.299654,1.35374,0.198319,3.18954,17.6725,0.840051,3.19832
-51.4718,0.786832,0.151033,3,15,0,58.4526,0.101091,-0.296624,1.38083,0.221924,3.10109,13.3495,0.846755,3.22192
-51.1708,0.970785,0.184028,4,15,0,52.0037,0.043923,-0.238945,1.3587,0.218318,3.04392,13.7677,0.841279,3.21832
-52.9951,0.996988,0.0933154,4,31,0,55.8579,-0.0155267,-0.611996,1.53129,0.361726,2.98447,11.063,0.883995,3.36173
-51.1938,0.994383,0.255329,4,15,0,53.4638,0.145471,-0.0148152,1.2432,0.0649301,3.14547,15.3926,0.812691,3.06493
-53.4154,0.944267,0.137809,5,31,0,54.2774,0.163832,-0.248907,1.1517,0.00465337,3.16383,13.6954,0.790046,3.00465
-51.9806,0.999689,0.115672,4,31,0,54.0642,-0.055604,-0.234672,1.25964,0.0720056,2.9444,13.7986,0.81676,3.07201
-52.3648,0.978361,0.133103,4,23,0,53.178,0.0669214,-0.657423,1.31324,0.162159,3.06692,10.7337,0.830027,3.16216
-52.1455,0.988853,0.124042,4,23,0,55.0877,-0.141004,-0.929851,1.30087,0.124886,2.859,8.75858,0.826966,3.12489
-51.7919,0.835921,0.255227,2,3,0,52.6242,-0.10859,-0.881505,1.31337,0.108904,2.89141,9.10909,0.83006,3.1089
-51.6015,0.984973,0.152272,5,31,0,52.9015,-0.0337071,-0.276879,1.17526,-0.00203825,2.96629,13.4926,0.795877,2.99796
-52.0139,0.962627,0.12554,4,31,0,53.5066,0.0927852,-0.377286,1.23208,0.102465,3.09279,12.7647,0.809939,3.10246
-58.5265,0.903372,0.106376,5,47,0,59.7102,0.104248,-0.546972,1.69303,0.499697,3.10425,11.5345,0.924026,3.4997
