# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq2_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 3
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq2_3.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq2_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.263822
# Diagonal elements of inverse mass matrix:
# 0.983267, 0.00116468, 0.498537, 0.444671
-39.076,0.869175,0.298152,4,15,0,41.7084,0.399088,-0.841937,-1.7389,-2.2717,3.1153,10.304,0.736159,2.68854
-37.2425,0.99989,0.146019,4,15,0,39.7229,1.07723,-0.843879,-1.47539,-1.67479,3.20409,10.2916,0.74433,2.76542
-37.1474,0.878639,0.286702,3,7,0,41.1868,-0.181242,-0.831391,-0.815947,-0.993526,3.04128,10.3714,0.765179,2.85585
-37.0142,0.944635,0.318613,4,15,0,40.2186,-0.0701897,-0.989395,0.168765,-0.135579,3.05531,9.36185,0.797402,2.97396
-36.1122,0.791357,0.372569,2,3,0,38.14,-0.149277,-0.983616,-0.251612,0.286497,3.04531,9.39877,0.783483,3.03384
-34.9822,0.949499,0.191555,4,31,0,38.3641,-1.08129,-0.872954,0.189717,-0.196073,2.92994,10.1058,0.798103,2.96547
-36.1403,0.888464,0.387448,4,15,0,37.3739,2.27361,-0.885047,0.280543,0.23361,3.36694,10.0285,0.801145,3.02627
-37.407,0.995737,0.183578,4,31,0,39.337,-0.121344,-0.837593,1.41289,0.480971,3.04884,10.3317,0.840063,3.06183
-34.1147,0.996976,0.28834,3,7,0,37.9497,0.131797,-0.951035,-0.113685,0.109335,3.08099,9.60694,0.788023,3.00856
-36.2761,0.939421,0.187472,4,15,0,37.6786,-2.03234,-0.942491,-0.364833,0.148128,2.81672,9.66153,0.779776,3.01408
-38.0601,0.974554,0.328473,4,15,0,40.2807,2.21576,-0.908271,0.729871,0.960219,3.35888,9.88017,0.816367,3.13193
-38.4359,0.997957,0.148402,2,3,0,38.55,2.30578,-0.908309,0.737862,0.986179,3.37143,9.87992,0.816641,3.13578
-41.4852,0.992993,0.3725,3,7,0,43.0241,-2.53773,-0.896906,1.64002,1.57888,2.75834,9.95278,0.848093,3.2248
-33.8397,0.999009,0.219901,3,7,0,42.9561,-0.0618193,-0.906944,0.703961,0.0962061,3.05637,9.88865,0.815482,3.00669
-34.4599,0.998871,0.285273,3,7,0,34.8244,0.0107879,-0.911597,1.02031,0.938981,3.06558,9.85892,0.826361,3.12879
-34.5725,0.980112,0.28174,4,15,0,35.9999,0.527234,-0.933492,0.731846,0.772652,3.13189,9.71903,0.816435,3.10431
-35.3225,0.953429,0.311754,4,15,0,36.8642,1.6376,-0.916627,0.608443,0.0999311,3.27936,9.82678,0.812225,3.00722
-35.5633,0.995694,0.239302,4,15,0,36.3843,-0.0686328,-0.854054,0.79104,-0.111686,3.05551,10.2266,0.818462,2.97731
