# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 4
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_4.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.157714
# Diagonal elements of inverse mass matrix:
# 0.0171471, 2.28634, 0.0407316, 0.0186616
-33.4295,0.933423,0.220517,4,15,0,35.3883,-0.0262995,-1.6555,1.23343,0.00645032,2.9737,3.49764,0.810273,3.00645
-35.2108,0.992049,0.113822,4,31,0,38.3239,0.17144,-1.63155,1.18709,0.114916,3.17144,3.67124,0.798805,3.11492
-32.492,0.99851,0.158169,3,15,0,36.2416,0.0298339,-1.281,1.22063,-0.0100022,3.02983,6.21276,0.807105,2.99
-33.0575,0.999256,0.149607,4,15,0,33.5512,0.0685325,-1.51432,1.12196,0.0284894,3.06853,4.52119,0.782684,3.02849
-31.085,0.999205,0.0980894,4,23,0,33.7982,0.060585,-0.791324,1.24851,0.0434251,3.06059,9.7629,0.814006,3.04343
-32.3704,0.998163,0.160277,4,15,0,33.1541,0.250848,1.50098,1.22602,0.0277979,3.25085,26.3821,0.808439,3.0278
-30.4678,0.994867,0.214794,4,15,0,34.1641,-0.058891,-0.605942,1.2293,0.0365089,2.94111,11.1069,0.809252,3.03651
-31.9166,0.876936,0.157231,4,19,0,34.4344,0.133386,0.584725,1.23433,-0.007287,3.13339,19.7393,0.810497,2.99271
-30.4272,0.986057,0.210517,3,15,0,32.8838,-0.0409602,-0.293949,1.20567,0.0807975,2.95904,13.3689,0.803403,3.0808
-31.7522,0.987904,0.113685,5,31,0,32.7669,0.106082,-0.794027,1.30646,0.190656,3.10608,9.74331,0.828348,3.19066
-33.139,0.993779,0.0793863,5,31,0,34.4521,0.191286,-0.586207,1.40924,0.22672,3.19129,11.25,0.853786,3.22672
-32.9133,1,0.147245,3,7,0,33.6516,0.175425,-0.388906,1.40209,0.289947,3.17542,12.6804,0.852016,3.28995
-30.7133,0.993768,0.219502,4,31,0,34.7654,-0.0814516,-0.116791,1.26833,0.0829947,2.91855,14.6533,0.818911,3.08299
-32.9423,0.967559,0.123563,5,31,0,33.984,-0.0652778,1.28153,1.21393,0.0588527,2.93472,24.7911,0.805448,3.05885
-31.0092,0.999997,0.0793991,4,31,0,33.7882,0.0288243,-0.861948,1.30572,0.143097,3.02882,9.25088,0.828164,3.1431
-30.9503,0.9934,0.119575,4,15,0,31.4727,0.0562639,0.721815,1.26709,0.142791,3.05626,20.7332,0.818604,3.14279
-30.676,0.985164,0.191652,4,31,0,32.1885,0.194747,-0.298909,1.13651,-0.00529576,3.19475,13.3329,0.786286,2.9947
-32.1431,0.92725,0.229623,3,15,0,34.4459,0.247319,0.539686,0.925299,-0.238162,3.24732,19.4127,0.734012,2.76184
