# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 3
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_3.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.189346
# Diagonal elements of inverse mass matrix:
# 0.0197435, 1.56991, 0.0378022, 0.0154878
-29.7984,0.999706,0.194902,4,15,0,31.581,0.00435819,-0.0701195,1.21732,0.0522692,3.00436,14.9916,0.806287,3.05227
-30.2508,0.989779,0.179082,4,19,0,30.6877,0.126269,-0.48281,1.16421,0.01924,3.12627,11.9996,0.793141,3.01924
-30.6747,0.998309,0.1084,4,31,0,31.2219,0.0503042,-1.04279,1.19115,0.0202028,3.0503,7.93976,0.799809,3.0202
-29.7117,0.999108,0.127819,4,15,0,30.8937,-0.015253,0.0258337,1.13596,-0.0469224,2.98475,15.6873,0.786151,2.95308
-29.6913,0.999829,0.131092,5,31,0,29.871,-0.0217212,-0.22527,1.14858,-0.00801125,2.97828,13.8668,0.789274,2.99199
-30.0515,0.987525,0.264071,3,15,0,30.3176,-0.0269392,0.441261,1.1208,-0.0600129,2.97306,18.6991,0.782397,2.93999
-30.2833,0.99634,0.140222,4,31,0,31.5738,-0.0758698,0.0369947,1.19366,0.0354194,2.92413,15.7682,0.800431,3.03542
-30.6211,0.98891,0.155535,4,15,0,31.6677,0.110918,-0.817809,1.10072,-0.0750753,3.11092,9.57089,0.777428,2.92492
-31.1456,0.998105,0.143678,4,23,0,32.2517,0.101066,-1.15697,1.12436,-0.0477867,3.10107,7.11194,0.78328,2.95221
