# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 1
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStan_1.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStan_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.176485
# Diagonal elements of inverse mass matrix:
# 0.00889332, 1.49115, 0.0174788, 0.00778331
-63.6799,0.977328,0.197054,4,31,0,66.0323,0.0626769,-0.456494,1.16773,-0.00282836,3.06268,12.1904,0.794013,2.99717
-64.1148,0.997741,0.174411,4,15,0,64.3479,-0.00592858,-0.490208,1.16098,-0.012142,2.99407,11.946,0.792343,2.98786
-63.7785,0.994366,0.217265,5,31,0,64.797,0.176191,0.621926,1.2171,0.0740406,3.17619,20.009,0.806232,3.07404
-63.6596,0.998449,0.114287,5,31,0,64.0399,0.149022,0.689288,1.18449,0.0360227,3.14902,20.4973,0.798162,3.03602
-64.5913,0.991313,0.182332,3,7,0,64.6354,0.220226,0.513638,1.16759,0.00909448,3.22023,19.2239,0.793979,3.00909
-63.9803,0.972149,0.234503,4,15,0,65.6022,0.148293,0.0131059,1.16117,-0.00521883,3.14829,15.595,0.792389,2.99478
-64.308,0.956121,0.193348,4,23,0,64.902,0.0490641,0.28474,1.25182,0.0621627,3.04906,17.5644,0.814826,3.06216
-65.7643,0.977972,0.0942002,4,31,0,67.4997,0.0790696,-0.189253,1.25382,0.173183,3.07907,14.1279,0.81532,3.17318
-66.6221,0.974426,0.210483,3,11,0,67.3629,0.185521,0.636513,1.30386,0.0899051,3.18552,20.1147,0.827706,3.08991
-66.9766,0.917021,0.213775,2,7,0,69.6509,0.235699,0.797958,1.2337,0.16214,3.2357,21.2852,0.810341,3.16214
-66.5467,0.947619,0.224172,4,31,0,69.5393,0.100339,-0.966755,1.36157,0.188257,3.10034,8.49102,0.841989,3.18826
-68.0762,0.969447,0.18997,4,15,0,70.2398,0.0353139,-0.464177,1.42625,0.328987,3.03531,12.1347,0.857996,3.32899
-69.056,0.861128,0.235845,3,7,0,71.4672,-0.0217559,-0.424346,1.44007,0.329527,2.97824,12.4235,0.861417,3.32953
-67.3269,0.999976,0.098924,5,31,0,70.0073,0.165382,0.159477,1.43043,0.272776,3.16538,16.6562,0.859033,3.27278
-67.1134,0.997104,0.0949975,5,31,0,69.2394,0.0998759,-1.00854,1.36877,0.268739,3.09988,8.18806,0.84377,3.26874
-69.1513,0.978716,0.133602,5,31,0,71.2461,0.17151,1.73432,1.04081,-0.161028,3.17151,28.0738,0.762601,2.83897
-66.7368,0.996453,0.0998381,5,31,0,70.732,0.317606,1.03902,1.28963,0.172601,3.31761,23.0329,0.824182,3.1726
-63.5627,0.997591,0.173201,4,15,0,67.4792,0.141137,0.234784,1.211,0.0475718,3.14114,17.2022,0.804722,3.04757
-64.0097,0.995896,0.0929087,5,39,0,65.4214,0.0707821,-0.494538,1.28609,0.139488,3.07078,11.9146,0.823306,3.13949
-64.1886,0.996659,0.123378,5,63,0,64.4172,0.11824,0.135796,1.11147,-0.0331633,3.11824,16.4845,0.780088,2.96684
-67.6803,0.879192,0.115275,3,7,0,68.1396,0.135819,0.351778,1.0811,-0.00233834,3.13582,18.0504,0.772572,2.99766
-64.3486,0.998957,0.21362,3,7,0,68.1039,0.144467,-0.114844,1.12558,-0.0242274,3.14447,14.6674,0.78358,2.97577
-64.058,0.990333,0.219911,3,7,0,64.6219,0.0510658,0.385747,1.1659,-0.0180406,3.05107,18.2967,0.793561,2.98196
-63.7773,0.997949,0.0939687,4,15,0,64.4488,0.0649801,0.338576,1.14586,-0.016347,3.06498,17.9547,0.788601,2.98365
-64.2881,0.945485,0.105737,3,15,0,66.3476,0.0707517,0.34572,1.12699,-0.00875893,3.07075,18.0065,0.783929,2.99124
-64.4157,0.999522,0.128345,4,23,0,66.2122,0.2078,1.02159,1.20794,0.0368215,3.2078,22.9065,0.803964,3.03682
-65.2924,0.985551,0.236645,3,15,0,69.7951,-0.0336575,-1.10205,1.18271,0.0501993,2.96634,7.51013,0.79772,3.0502
-65.3641,0.993008,0.206414,4,31,0,66.9492,0.0465222,-1.30816,1.26918,0.0944405,3.04652,6.01585,0.819123,3.09444
-66.2337,0.982469,0.148714,5,31,0,67.1459,0.240886,0.640136,1.10977,-0.00335482,3.24089,20.141,0.779669,2.99665
-65.5489,1,0.264633,4,15,0,67.1768,-0.0217009,-0.322464,1.16242,-0.0534495,2.9783,13.1621,0.792699,2.94655
-65.8601,0.995638,0.21915,4,15,0,67.1591,0.141985,-0.524082,1.10485,-0.0128016,3.14199,11.7004,0.778449,2.9872
-65.2553,0.971847,0.264235,3,15,0,67.2086,0.145772,-0.282031,1.19841,-0.00142942,3.14577,13.4553,0.801607,2.99857
-67.451,0.811103,0.20646,2,7,0,69.6088,0.147613,0.983198,1.13505,0.0559088,3.14761,22.6282,0.785925,3.05591
-63.8749,1,0.146181,3,7,0,67.8035,0.139848,0.805316,1.16059,0.00790942,3.13985,21.3385,0.792246,3.00791
-65.2998,0.959896,0.203499,3,7,0,65.8881,0.122059,1.32516,1.1688,-0.00717461,3.12206,25.1074,0.794278,2.99283
-65.063,0.848137,0.218775,4,15,0,68.0852,0.0702477,-0.254626,1.21282,-0.00222334,3.07025,13.654,0.805174,2.99778
-64.26,0.896772,0.142037,3,7,0,69.8573,0.0606849,-0.841672,1.15428,0.0145778,3.06068,9.39788,0.790684,3.01458
-64.5645,0.977388,0.110267,4,31,0,65.8463,0.0761447,0.560795,1.26042,0.139104,3.07614,19.5658,0.816954,3.1391
-64.4278,0.999878,0.158525,4,23,0,65.3554,0.133019,-0.174595,1.1383,0.0120772,3.13302,14.2342,0.78673,3.01208
-71.1308,0.964285,0.125254,4,15,0,73.9331,-0.150244,-0.23409,1.15196,-0.0878108,2.84976,13.8028,0.79011,2.91219
-70.1692,0.844727,0.23027,4,15,0,74.8365,0.204645,-1.79735,1.19056,0.0380634,3.20465,2.46925,0.799662,3.03806
