# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 1
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_1.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStanOEDMCSeq1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.153355
# Diagonal elements of inverse mass matrix:
# 0.01983, 1.43277, 0.0491815, 0.0218829
-30.8287,0.940532,0.183023,4,19,0,32.8551,0.144697,0.968135,1.0019,-0.1767,3.1447,22.519,0.752971,2.8233
-31.5929,0.989805,0.154844,4,15,0,32.1879,0.143945,1.2985,0.979463,-0.177201,3.14395,24.9141,0.747417,2.8228
-31.6491,0.96612,0.12891,5,31,0,32.3056,0.121964,1.34935,0.988757,-0.16793,3.12196,25.2828,0.749717,2.83207
-30.96,0.99997,0.0962734,5,31,0,32.1313,0.222915,0.0424047,1.02745,-0.128569,3.22291,15.8074,0.759293,2.87143
-30.1128,0.955459,0.0971784,5,31,0,33.7169,0.057848,0.391171,1.03393,-0.158675,3.05785,18.336,0.760898,2.84132
-30.3811,0.962192,0.225125,2,3,0,30.4366,0.0524468,0.427421,1.0433,-0.163867,3.05245,18.5988,0.763217,2.83613
-32.8208,0.936695,0.0815794,5,31,0,35.7321,0.0818896,1.59529,0.989779,-0.155253,3.08189,27.0658,0.74997,2.84475
-33.6242,0.932515,0.0904354,2,3,0,34.2259,0.0958023,1.57837,0.963411,-0.153724,3.0958,26.9432,0.743444,2.84628
-32.8541,0.841763,0.207332,4,15,0,36.6647,-0.036614,1.4086,1.1303,-0.0136376,2.96339,25.7123,0.78475,2.98636
-31.7102,0.962964,0.142242,2,7,0,34.3923,-0.000172937,1.09549,1.15967,-0.0588922,2.99983,23.4423,0.792019,2.94111
-32.6741,0.978572,0.085744,4,31,0,35.8902,-0.110079,0.300377,1.05541,-0.195798,2.88992,17.6777,0.766214,2.8042
-29.9055,0.960518,0.207547,4,15,0,33.3907,0.100351,-0.0674701,1.04783,-0.102951,3.10035,15.0108,0.764339,2.89705
-29.6358,0.999162,0.126975,4,15,0,29.9841,0.0401721,0.0458162,1.08845,-0.0586222,3.04017,15.8322,0.77439,2.94138
-33.6425,0.937081,0.172243,4,15,0,34.2397,0.0964653,-1.82107,1.06531,-0.0964878,3.09647,2.29723,0.768664,2.90351
-33.7217,0.996177,0.153267,5,31,0,36.5861,0.23919,1.90291,1.15295,0.00247315,3.23919,29.2961,0.790354,3.00247
-31.0511,0.999164,0.113324,5,31,0,34.2857,0.0767967,-1.05492,1.03171,-0.142287,3.0768,7.85184,0.760347,2.85771
-30.3189,0.999962,0.0987385,5,31,0,32.7193,0.144023,0.38799,1.00606,-0.155773,3.14402,18.3129,0.754001,2.84423
-30.3134,0.990343,0.202866,4,15,0,31.448,-0.0668559,-0.720522,1.20285,0.0380628,2.93314,10.2762,0.802706,3.03806
-30.287,0.99951,0.112087,5,31,0,31.009,-0.0183258,0.0635311,1.27365,0.10943,2.98167,15.9606,0.820227,3.10943
-30.0599,0.985489,0.0836766,5,39,0,31.697,0.0432695,-0.315751,1.03542,-0.152696,3.04327,13.2108,0.761266,2.8473
-30.8141,0.998916,0.0859279,4,15,0,31.0412,0.0813591,-0.173247,0.969883,-0.226021,3.08136,14.244,0.745046,2.77398
-30.3619,0.959381,0.127896,4,15,0,31.7977,0.0907181,-0.454572,1.02413,-0.156655,3.09072,12.2044,0.758472,2.84334
-32.0678,0.900908,0.164734,4,15,0,33.3357,-0.132844,-1.2447,1.05848,-0.154183,2.86716,6.47596,0.766974,2.84582
-31.7773,0.999363,0.186742,5,31,0,33.4534,0.00420752,-1.05492,0.941346,-0.203105,3.00421,7.8518,0.737983,2.7969
-37.8682,0.840506,0.0819322,3,15,0,39.3257,0.0894015,-1.2568,1.02484,-0.27874,3.0894,6.3882,0.758647,2.72126
-35.1897,0.93539,0.129906,2,3,0,39.8695,0.0633799,-1.18938,1.028,-0.247377,3.06338,6.87697,0.759429,2.75262
-34.0005,0.99497,0.197372,4,15,0,35.6716,0.0920388,-1.13807,0.888645,-0.222532,3.09204,7.24897,0.72494,2.77747
-31.0333,0.995034,0.19083,4,15,0,34.4211,-0.00996929,0.743049,1.15051,0.0306087,2.99003,20.8871,0.789751,3.03061
-30.1468,0.942124,0.213379,2,3,0,31.3987,0.0109254,0.619892,1.18322,0.00152977,3.01093,19.9942,0.797847,3.00153
-30.1989,0.992081,0.115725,4,31,0,31.2794,-0.0362485,-0.574413,1.10694,-0.0935128,2.96375,11.3355,0.778967,2.90649
-31.8148,0.835435,0.204648,4,31,0,32.6357,0.149462,0.0302919,1.30659,0.0849114,3.14946,15.7196,0.828381,3.08491
-30.4752,0.99982,0.0839144,3,15,0,32.9387,0.119184,0.256281,1.26334,0.0719569,3.11918,17.358,0.817677,3.07196
-31.135,0.989522,0.0923003,5,31,0,34.2252,0.0205007,0.0844502,0.957404,-0.165695,3.0205,16.1123,0.741958,2.83431
-30.8669,0.996741,0.0910924,3,15,0,32.7313,0.0833039,-0.343908,1.04533,-0.170678,3.0833,13.0067,0.763718,2.82932
-30.4234,0.999021,0.172227,4,19,0,31.1566,0.0357044,0.50718,1.20572,0.0825089,3.0357,19.1771,0.803416,3.08251
-32.1424,0.489365,0.217734,3,11,0,36.4172,0.0245385,-0.17077,1.23555,0.164437,3.02454,14.2619,0.810799,3.16444
-33.4222,0.876268,0.206516,3,15,0,34.6254,0.0519774,-0.20667,1.24699,0.19959,3.05198,14.0016,0.81363,3.19959
-30.687,0.982599,0.080423,4,23,0,37.0957,0.16443,-0.29703,1.23649,0.0668479,3.16443,13.3465,0.811032,3.06685
-30.8422,0.872142,0.154094,4,23,0,33.4128,0.137074,0.21884,1.27216,0.155135,3.13707,17.0866,0.81986,3.15514
-33.4744,0.785677,0.223165,3,11,0,33.8676,-0.013888,0.843683,1.22448,0.153471,2.98611,21.6167,0.808059,3.15347
-30.0785,1,0.154866,3,11,0,34.2801,0.0180744,0.279519,1.2504,0.0901825,3.01807,17.5265,0.814475,3.09018
-30.0062,0.978468,0.0780074,4,23,0,31.546,0.0124889,-0.150554,1.186,0.0575852,3.01249,14.4085,0.798535,3.05759
-30.1867,0.997979,0.0767658,3,7,0,30.2075,0.00812691,-0.139593,1.1822,0.0619853,3.00813,14.488,0.797595,3.06199
-30.1281,0.999245,0.14985,2,7,0,30.4266,0.00793,-0.0580907,1.17594,0.053872,3.00793,15.0788,0.796044,3.05387
-31.5339,0.998799,0.0924504,5,31,0,32.8499,0.277998,0.985434,1.20256,0.0167777,3.278,22.6444,0.802635,3.01678
-30.5222,0.998966,0.132744,5,31,0,31.9849,0.115628,0.448584,1.27457,0.086932,3.11563,18.7522,0.820456,3.08693
-29.6851,0.999557,0.123748,5,31,0,31.2803,-0.000242517,-0.0995043,1.07065,-0.105283,2.99976,14.7786,0.769987,2.89472
-30.4984,0.865844,0.217017,3,11,0,31.2763,0.118224,-0.179606,1.17273,-0.033065,3.11822,14.1979,0.79525,2.96694
-29.7253,0.966455,0.157759,4,31,0,33.315,0.109753,0.151644,1.17316,0.0128563,3.10975,16.5994,0.795357,3.01286
-31.2109,0.960293,0.139366,4,23,0,31.5402,0.0839639,-0.995407,1.14277,0.0295006,3.08396,8.2833,0.787836,3.0295
-31.1259,0.99814,0.105279,5,31,0,31.6992,0.0723266,1.22183,1.17756,-0.0162311,3.07233,24.3583,0.796447,2.98377
-32.6774,0.787024,0.172218,3,11,0,34.6286,0.0876744,0.804815,1.18925,-0.0719767,3.08767,21.3349,0.799339,2.92802
-30.9358,0.994801,0.091574,4,27,0,34.0723,0.0835094,0.378516,1.06114,-0.0388842,3.08351,18.2442,0.767633,2.96112
-29.6928,0.992566,0.165658,2,3,0,31.0786,0.0910165,0.379175,1.08864,-0.0663101,3.09102,18.249,0.774437,2.93369
-31.7347,0.960953,0.163774,4,31,0,31.8763,0.00600442,-0.777476,1.37532,0.186452,3.006,9.8633,0.845391,3.18645
-33.3784,0.862741,0.178988,2,7,0,34.4134,0.0126693,-0.626062,1.40333,0.155474,3.01267,10.9611,0.852324,3.15547
-31.7078,1,0.120756,2,3,0,33.4454,0.0162714,-0.580539,1.37239,0.169231,3.01627,11.2911,0.844668,3.16923
-31.5809,0.976188,0.218131,3,15,0,34.8168,0.179804,-0.395769,1.22403,0.121873,3.1798,12.6307,0.807948,3.12187
-31.7593,0.987731,0.108368,3,7,0,32.201,0.188684,-0.0312363,1.28293,0.0715482,3.18868,15.2735,0.822524,3.07155
-30.4712,0.995803,0.119584,3,7,0,32.3118,0.155724,0.0323154,1.25631,0.108099,3.15572,15.7343,0.815938,3.1081
-30.422,0.983784,0.198321,4,15,0,31.1145,-0.0788619,0.155174,1.17501,-0.0177892,2.92114,16.625,0.795816,2.98221
-30.0671,0.998685,0.105829,4,31,0,31.7461,0.0174523,0.569252,1.04785,-0.118297,3.01745,19.6271,0.764343,2.8817
-30.4274,0.978201,0.204624,4,15,0,30.6564,-0.0154516,-0.937191,1.10241,-0.0878169,2.98455,8.70536,0.777845,2.91218
-30.7076,1,0.101315,5,31,0,30.9926,0.126946,1.11567,1.20753,0.0544037,3.12695,23.5886,0.803864,3.0544
-29.7619,0.990993,0.130336,4,15,0,31.1773,0.0530176,0.441425,1.18121,0.0101531,3.05302,18.7003,0.79735,3.01015
-31.1531,0.974103,0.16254,4,15,0,32.3289,0.0499932,1.14339,1.23966,0.068422,3.04999,23.7896,0.811816,3.06842
-31.2441,1,0.089143,4,15,0,31.3398,0.0544387,1.21003,1.23042,0.0658025,3.05444,24.2727,0.80953,3.0658
-31.6579,0.979069,0.114879,4,31,0,33.0801,0.0598086,-0.88326,1.32363,0.19972,3.05981,9.09636,0.832598,3.19972
-34.1242,0.991385,0.167318,4,15,0,35.0684,-0.0103077,-1.43313,1.46164,0.275173,2.98969,5.10979,0.866757,3.27517
-31.714,0.999892,0.104279,5,31,0,35.2222,-0.0990684,-1.02077,1.30629,0.11598,2.90093,8.09939,0.828307,3.11598
-30.1125,0.997519,0.0767441,4,31,0,32.8381,0.00733479,-0.467495,1.20137,0.0684464,3.00733,12.1107,0.802339,3.06845
-30.3884,0.999201,0.146966,5,31,0,31.143,0.151015,0.292438,1.01514,-0.163821,3.15102,17.6202,0.756246,2.83618
-30.1472,0.991361,0.0915128,5,31,0,31.1882,0.0889126,-0.0232253,1.02513,-0.111365,3.08891,15.3316,0.758721,2.88864
-32.8799,0.998726,0.101611,5,31,0,35.5761,-0.0240909,-0.812474,1.46444,0.288399,2.97591,9.60956,0.867449,3.2884
-34.2184,0.956515,0.184273,5,31,0,35.0636,-0.0453979,-1.36125,1.40589,0.306821,2.9546,5.63092,0.852958,3.30682
-31.91,0.900868,0.193746,4,15,0,37.8983,-0.0330193,0.55615,1.23129,-0.0105564,2.96698,19.5321,0.809744,2.98944
-30.9891,0.999129,0.135519,4,15,0,32.1114,-0.0239461,0.588711,1.21356,-0.00192425,2.97605,19.7682,0.805356,2.99808
-30.1564,1,0.21,3,7,0,31.3413,0.00675823,0.192468,1.14079,0.0184741,3.00676,16.8954,0.787346,3.01847
-31.0611,0.998065,0.0879534,5,31,0,31.8856,0.255199,0.314741,1.13847,0.011618,3.2552,17.7819,0.78677,3.01162
-32.6263,0.999449,0.162378,4,15,0,33.0107,0.293275,1.57835,1.21099,0.0846732,3.29327,26.9431,0.804719,3.08467
-34.1381,0.964627,0.092905,6,63,0,35.3421,-0.179785,-1.1189,1.25789,0.164237,2.82022,7.38796,0.816327,3.16424
-30.7256,0.999349,0.158856,4,23,0,34.679,0.223262,0.917154,1.13614,-0.000231528,3.22326,22.1494,0.786194,2.99977
-31.4818,0.997758,0.0844336,5,63,0,32.674,0.148788,0.860568,1.31921,0.19363,3.14879,21.7391,0.831503,3.19363
-30.8795,0.977987,0.130799,4,27,0,32.5262,0.189581,0.0929602,1.17527,0.0645914,3.18958,16.174,0.795879,3.06459
-33.0993,0.783534,0.168123,2,3,0,33.5257,0.187459,-0.00676139,1.23185,-0.0217111,3.18746,15.451,0.809882,2.97829
-35.3507,0.914716,0.137206,3,15,0,37.2704,0.174776,1.35781,1.22963,-0.05559,3.17478,25.3441,0.809335,2.94441
-31.5083,1,0.104807,2,3,0,35.7234,0.163134,1.3294,1.17244,-0.0321942,3.16313,25.1381,0.795178,2.96781
-31.3432,0.986424,0.204151,4,15,0,33.5059,0.00773505,1.01986,1.12065,-0.00365072,3.00774,22.8939,0.78236,2.99635
-31.9331,0.953496,0.121624,4,23,0,34.4153,-0.0689621,0.918692,1.24601,0.056308,2.93104,22.1605,0.813388,3.05631
-29.9563,0.999933,0.0789465,5,31,0,32.9933,-0.0544628,-0.461848,1.14147,-0.0417655,2.94554,12.1516,0.787514,2.95823
-31.5493,0.965489,0.105395,5,31,0,32.6433,0.147397,0.0569933,0.987141,-0.229628,3.1474,15.9132,0.749317,2.77037
-32.5831,0.969097,0.229232,3,7,0,33.2912,0.204625,0.589317,0.907128,-0.296198,3.20463,19.7725,0.729514,2.7038
-29.9628,0.991032,0.178397,4,15,0,34.1726,-0.0384342,-0.526168,1.06403,-0.0972658,2.96157,11.6853,0.768348,2.90273
-30.0132,0.943147,0.167268,4,31,0,30.8526,-0.00770348,-0.0287606,1.20582,0.0103871,2.9923,15.2915,0.803441,3.01039
-30.1469,0.962288,0.164081,4,15,0,31.4389,0.104984,0.0474318,1.25625,0.0878281,3.10498,15.8439,0.815921,3.08783
-29.7674,0.984263,0.173201,4,15,0,30.3851,0.0566962,0.167669,1.18883,0.00458789,3.0567,16.7156,0.799236,3.00459
-30.7923,0.989328,0.0825481,4,31,0,33.6442,0.142757,0.314041,0.992179,-0.135285,3.14276,17.7768,0.750564,2.86471
-31.496,0.942952,0.155653,5,31,0,32.0359,0.0924609,0.898746,1.05143,-0.0498863,3.09246,22.0159,0.76523,2.95011
-31.2116,0.827394,0.171215,4,19,0,39.8125,-0.0670993,-0.608521,1.30915,0.108532,2.9329,11.0882,0.829015,3.10853
-30.5894,0.994492,0.202015,4,15,0,31.8161,0.152269,0.825864,1.23657,0.0972467,3.15227,21.4875,0.811051,3.09725
-31.3392,0.995893,0.182564,3,7,0,31.4088,0.127971,1.28156,1.25298,0.0778749,3.12797,24.7913,0.815112,3.07787
-31.8871,0.999936,0.0924874,5,31,0,33.278,0.213973,0.34798,0.925725,-0.248802,3.21397,18.0229,0.734117,2.7512
-34.069,0.980094,0.0875544,5,31,0,34.7426,0.354226,0.351656,0.956186,-0.248762,3.35423,18.0495,0.741656,2.75124
-32.5345,0.881693,0.212761,3,7,0,35.2822,0.299976,0.00768409,0.974115,-0.187832,3.29998,15.5557,0.746093,2.81217
-33.2158,0.60781,0.191961,4,15,0,36.9803,-0.211142,-0.706715,1.24275,0.012448,2.78886,10.3763,0.812581,3.01245
-30.6971,0.996802,0.153652,4,15,0,33.9472,-0.0984307,0.139173,1.16733,0.0211743,2.90157,16.509,0.793914,3.02117
-29.8565,0.994643,0.1963,3,7,0,31.2472,0.0193345,-0.0469278,1.21532,0.0699858,3.01933,15.1598,0.805792,3.06999
