# stan_version_major = 2
# stan_version_minor = 20
# stan_version_patch = 0
# model = JuliaConExamp_Stan_JuliaConBayInfStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
# id = 4
# data
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStan_4.data.R
# init = 2 (Default)
# random
#   seed = -1 (Default)
# output
#   file = e:\UNI\D_Drive\PhD\Year_1\2022_06_23_JuliaCon2022\tmp\JuliaConExamp_Stan_JuliaConBayInfStan_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,n1,KM2,d2,km,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.215295
# Diagonal elements of inverse mass matrix:
# 0.00881154, 1.19865, 0.0165226, 0.00850288
-63.9857,0.998727,0.205584,4,15,0,64.8009,0.0325495,-0.859649,1.17429,0.0186533,3.03255,9.26755,0.795638,3.01865
-64.884,0.988093,0.242293,4,15,0,65.6212,0.116249,0.763457,1.08681,-0.0831732,3.11625,21.0351,0.773986,2.91683
-67.898,0.925523,0.196746,5,31,0,70.3929,-0.0638624,-0.967846,1.02909,-0.155306,2.93614,8.48312,0.759701,2.84469
-63.7304,0.992141,0.202083,4,31,0,70.159,0.10372,0.0299144,1.26575,0.133205,3.10372,15.7169,0.818274,3.1332
-64.2778,0.967018,0.250745,3,15,0,66.3062,-0.00914956,-0.0360746,1.17222,0.0103366,2.99085,15.2385,0.795124,3.01034
-65.3895,0.959019,0.185615,3,15,0,66.3774,0.015611,-1.38269,1.13622,-0.0155835,3.01561,5.47552,0.786213,2.98442
-65.21,0.952791,0.293537,3,15,0,66.8872,0.139857,1.21771,1.25431,0.127531,3.13986,24.3284,0.815442,3.12753
-65.2293,0.908507,0.19111,4,15,0,68.4958,0.257426,1.02484,1.20177,0.0850193,3.25743,22.9301,0.802439,3.08502
-66.3101,0.979885,0.115924,5,31,0,67.7388,0.171134,1.21377,1.08021,-0.0464717,3.17113,24.2998,0.772352,2.95353
-66.425,0.974167,0.237597,4,15,0,69.3188,-0.0180875,-1.04837,1.36196,0.216893,2.98191,7.89932,0.842086,3.21689
-66.1129,0.998676,0.152363,5,31,0,68.2484,0.207104,1.40922,1.33055,0.184665,3.2071,25.7168,0.834312,3.18466
-71.4658,0.757543,0.256617,3,15,0,73.7527,0.135173,-0.783571,1.50731,0.318011,3.13517,9.81911,0.878058,3.31801
-73.3557,0.989225,0.142855,4,15,0,74.4941,0.015491,-1.27631,1.47646,0.426202,3.01549,6.24674,0.870425,3.4262
-70.2194,0.994054,0.122298,5,31,0,75.4085,0.242023,0.943095,1.41174,0.190747,3.24202,22.3374,0.854404,3.19075
-66.3523,0.980378,0.276375,3,11,0,72.5641,0.243526,0.165324,1.3085,0.197697,3.24353,16.6986,0.828854,3.1977
-65.3989,0.965964,0.198693,3,7,0,67.2168,0.143476,1.09774,1.27487,0.161668,3.14348,23.4586,0.820531,3.16167
-64.0349,0.99321,0.228185,5,31,0,65.5879,0.16685,0.939744,1.18861,0.0496031,3.16685,22.3131,0.79918,3.0496
-63.6816,0.930142,0.278846,3,7,0,64.6606,0.1607,0.695129,1.21708,0.0644042,3.1607,20.5397,0.806226,3.0644
-66.9445,0.885786,0.126892,4,31,0,69.8665,0.19275,-0.733498,1.2445,0.0577908,3.19275,10.1821,0.813013,3.05779
-65.1683,0.993872,0.269655,3,11,0,68.1447,0.0725721,-1.0023,1.1986,0.0910783,3.07257,8.23333,0.801655,3.09108
-65.9983,0.99774,0.164882,4,15,0,67.0911,0.00542712,0.53151,1.12125,-0.0141365,3.00543,19.3534,0.782509,2.98586
-65.5231,0.999661,0.134761,4,23,0,68.0155,0.00768273,0.471979,1.13889,0.00312111,3.00768,18.9218,0.786876,3.00312
-63.5347,0.982714,0.236978,3,7,0,67.3602,0.12038,0.44631,1.17905,0.0105956,3.12038,18.7357,0.796814,3.0106
