time,Cit_mrna_Theta_1,Cit_foldedP_Theta_1,Cit_fluo_Theta_1,Cit_AU_Theta_1
0.0,10.0,10.0,10.0,10.0
10.0,7.416190675668137,193.32963847158325,26.2502058698309,1129.1022242229149
20.0,6.149666966099314,268.5702326819031,57.30540128994227,3267.779022948638
30.0,5.5288462686588185,296.27902697637256,88.0650170569294,5386.100150497266
40.0,5.224534288056358,304.10790562002387,113.68070542102028,7150.174652253312
50.0,5.075367577182854,304.33670111467575,133.44261191816685,8511.117011568303
60.0,5.002249497409153,302.1852929225668,148.09704162026642,9520.322987523647
70.0,4.966408702108171,299.71092012393336,158.7328965132762,10252.781946051491
80.0,4.948840371261792,297.60747815181446,166.36507838796717,10778.387084845303
90.0,4.940228780617566,296.0178206050916,171.81361345435434,11153.611113414108
100.0,4.9360075778014325,294.8882297002233,175.69837150053095,11421.142577622528
110.0,4.933938441705842,294.1147583628805,178.4716079638714,11612.126933099662
120.0,4.932924198804208,293.5977700634138,180.45691196872272,11748.848778064868
130.0,4.9324270403164965,293.2578885105703,181.88344472092118,11847.089747360893
140.0,4.932183344736374,293.0370513032494,182.91276656098864,11917.976009965067
150.0,4.9320638907970435,292.8947833852266,183.65869540930913,11969.345859673696
160.0,4.9320053371886345,292.8037089763316,184.201555744336,12006.73099886746
170.0,4.931976635595365,292.74568231723543,184.59822572686895,12034.048453384099
180.0,4.9319625667138975,292.7088439001468,184.88915676020127,12054.083988263204
190.0,4.931955670475315,292.6855207982674,185.10325834565816,12068.828512881155
200.0,4.931952290100768,292.67078543938067,185.26129658210223,12079.712125269423
210.0,4.931950633121075,292.6614907773788,185.37826338038258,12087.76727270351
220.0,4.9319498209082475,292.6556352706151,185.46503443341845,12093.742931056917
230.0,4.931949422776562,292.6519499429331,185.5295350854765,12098.184894670188
240.0,4.9319492276237344,292.6496322226103,185.57756458725265,12101.492540289977
250.0,4.931949131963138,292.6481754441559,185.61338234973312,12103.95920058829
260.0,4.931949085073554,292.64726021979635,185.64012716150225,12105.801034382706
270.0,4.931949062088304,292.6466854269996,185.66011882019603,12107.177799076602
280.0,4.9319490508217285,292.64632453962923,185.6750761342973,12108.207863779366
290.0,4.931949045299261,292.64609800279317,185.68627548602706,12108.979129050154
300.0,4.931949042592248,292.64595582397305,185.69466649501837,12109.556992303142
310.0,4.931949041265293,292.645866601416,185.70095681280773,12109.990187346057
320.0,4.931949040614825,292.645810616617,185.70567451066074,12110.315080839888
330.0,4.931949040295963,292.6457754903861,185.70921411582952,12110.558842675828
340.0,4.931949040139655,292.6457534526361,185.7118706767811,12110.741791943887
350.0,4.931949040063036,292.6457396271359,185.71386503044036,12110.87913701101
360.0,4.931949040025485,292.6457309541744,185.71536258220496,12110.98226884356
370.0,4.931949040007088,292.6457255138332,185.716487294729,12111.059724372268
380.0,4.931949039998061,292.64572210095395,185.7173321336414,12111.11790585708
390.0,4.93194903999363,292.6457199598142,185.7179668329219,12111.16161566495
400.0,4.931949039991467,292.6457186169928,185.7184437017206,12111.194456167872
410.0,4.931949039990404,292.64571777474026,185.71880202067226,12111.219132503606
420.0,4.93194903998988,292.6457172461636,185.71907129750852,12111.237676779832
430.0,4.931949039989624,292.64571691487794,185.71927365041455,12111.25161220865
440.0,4.931949039989498,292.64571670687695,185.71942573977222,12111.262086139861
450.0,4.931949039989438,292.6457165765218,185.71954004315347,12111.269957865872
460.0,4.931949039989407,292.6457164946906,185.7196259581569,12111.275874570696
470.0,4.931949039989393,292.64571644340776,185.7196905335817,12111.280321683682
480.0,4.931949039989385,292.6457164111923,185.71973907524776,12111.283664600496
490.0,4.93194903998938,292.645716391043,185.71977555731794,12111.286177009644
500.0,4.931949039989377,292.6457163783364,185.7198029894758,12111.28806617887
510.0,4.931949039989385,292.645716370433,185.71982359904118,12111.289485496918
520.0,4.93194903998938,292.64571636542155,185.71983910272576,12111.290553188492
530.0,4.931949039989379,292.6457163623004,185.71985075034166,12111.291355324352
540.0,4.931949039989379,292.64571636035197,185.7198595049099,12111.291958224823
550.0,4.93194903998938,292.6457163591041,185.7198660939645,12111.292411992961
560.0,4.931949039989377,292.6457163583401,185.71987103918755,12111.292752555424
570.0,4.931949039989375,292.64571635786064,185.71987475770544,12111.293008638431
580.0,4.931949039989374,292.64571635754726,185.71987755939656,12111.293201582374
590.0,4.9319490399893775,292.64571635735837,185.7198796599346,12111.293346240036
600.0,4.931949039989382,292.64571635724445,185.71988123668052,12111.293454825729
610.0,4.9319490399893775,292.64571635716516,185.71988242845637,12111.293536899704
620.0,4.931949039989376,292.6457163571157,185.71988332347806,12111.293598537124
630.0,4.93194903998938,292.64571635708813,185.71988399186327,12111.293644566778
640.0,4.931949039989382,292.6457163570709,185.71988449470496,12111.293679195955
650.0,4.9319490399893775,292.6457163570576,185.7198848772394,12111.293705539938
660.0,4.931949039989376,292.6457163570493,185.71988516417076,12111.293725300027
670.0,4.9319490399893775,292.645716357045,185.7198853768768,12111.293739948445
680.0,4.931949039989379,292.64571635704283,185.7198855354783,12111.29375087085
690.0,4.931949039989377,292.6457163570407,185.7198856576306,12111.293759283106
700.0,4.9319490399893695,292.64571635703925,185.71988575100823,12111.293765713739
710.0,4.93194903998937,292.6457163570383,185.71988582023775,12111.293770481365
720.0,4.93194903998938,292.6457163570377,185.71988587044464,12111.29377393896
730.0,4.931949039989391,292.64571635703754,185.7198859071651,12111.293776467788
740.0,4.931949039989383,292.64571635703805,185.7198859361673,12111.293778465079
750.0,4.931949039989331,292.64571635704243,185.71988595953312,12111.293780074211
760.0,4.931949039989291,292.64571635704596,185.71988597722827,12111.293781292823
770.0,4.931949039989301,292.64571635704476,185.71988598983123,12111.293782160752
780.0,4.931949039989363,292.6457163570387,185.71988599829706,12111.293782743769
790.0,4.931949039989443,292.645716357031,185.71988600395753,12111.293783133586
800.0,4.931949039989468,292.6457163570287,185.71988600852092,12111.293783447854
810.0,4.931949039988931,292.64571635708745,185.71988601312646,12111.293783765022
820.0,4.931949039987814,292.64571635721046,185.7198860169942,12111.293784031383
830.0,4.931949039987043,292.6457163572954,185.7198860199183,12111.293784232756
840.0,4.93194903998714,292.6457163572844,185.7198860218465,12111.293784365545
850.0,4.931949039988204,292.64571635716646,185.71988602286393,12111.293784435613
860.0,4.931949039989919,292.6457163569767,185.719886023193,12111.293784458274
870.0,4.9319490399915455,292.6457163567969,185.71988602319348,12111.293784458308
880.0,4.931949039991925,292.6457163567553,185.71988602336248,12111.293784469945
890.0,4.9319490399547465,292.64571636092313,185.71988602239045,12111.293784403006
900.0,4.9319490398329915,292.6457163745755,185.71988601754128,12111.293784069057
910.0,4.93194903970247,292.6457163892109,185.7198860121868,12111.293783700312
920.0,4.931949039621677,292.64571639826966,185.71988600896532,12111.293783478457
930.0,4.931949039625086,292.6457163978858,185.7198860094333,12111.293783510686
940.0,4.931949039723152,292.645716386887,185.71988601406548,12111.29378382969
950.0,4.931949039902313,292.64571636679466,185.71988602225477,12111.29378439366
960.0,4.931949040124984,292.6457163418237,185.71988603231225,12111.293785086289
970.0,4.931949040329564,292.6457163188828,185.71988604146728,12111.293785716769
980.0,4.931949040430431,292.64571630757445,185.7198860458674,12111.29378601979
990.0,4.931949040313081,292.64571632074046,185.71988604034604,12111.293785639553
1000.0,4.931949038604091,292.64571651253965,185.7198859594452,12111.293780068158
1010.0,4.931949036328493,292.64571676793736,185.71988585155125,12111.293772637831
1020.0,4.9319490355117255,292.64571685960226,185.71988581291532,12111.293769977092
1030.0,4.93194903695565,292.6457166975353,185.71988588164882,12111.293774710557
1040.0,4.931949040238542,292.6457163290695,185.71988603772337,12111.293785458936
1050.0,4.931949043715096,292.64571593887,185.719886202971,12111.293796839038
1060.0,4.931949044516425,292.64571584893406,185.7198862410839,12111.293799463758
1070.0,4.931949040737802,292.64571627305054,185.71988606155162,12111.293787099914
1080.0,4.931949037690566,292.6457166150768,185.71988591676617,12111.293777128983
1090.0,4.931949038548749,292.6457165187463,185.71988595758486,12111.293779940042
1100.0,4.931949042047795,292.64571612599696,185.7198861239092,12111.293791394291
1110.0,4.931949042631186,292.6457160605132,185.71988615165293,12111.29379330492
1120.0,4.931949040065672,292.6457163484759,185.7198860297317,12111.293784908576
1130.0,4.931949039060223,292.64571646133084,185.71988598195406,12111.293781618275
1140.0,4.9319490402530395,292.6457163274434,185.71988603865336,12111.293785522983
1150.0,4.93194904159838,292.6457161764362,185.7198861026,12111.293789926793
1160.0,4.931949040443221,292.6457163060961,185.71988604770124,12111.293786146081
1170.0,4.931949039440055,292.6457164186955,185.71988600002555,12111.2937828628
1180.0,4.931949039664992,292.6457163934475,185.7198860107185,12111.293783599192
1190.0,4.9319490406642235,292.6457162812893,185.71988605821176,12111.293786869908
1200.0,4.931949040650762,292.64571628280015,185.71988605757315,12111.29378682593
1210.0,4.931949039759252,292.64571638286714,185.7198860152022,12111.293783907971
1220.0,4.931949039437125,292.6457164190241,185.71988599989277,12111.293782853656
1230.0,4.931949039963556,292.64571635993514,185.71988602491356,12111.293784576763
1240.0,4.93194904067013,292.64571628062635,185.719886058496,12111.293786889484
1250.0,4.9319490402704815,292.6457163254846,185.71988603950172,12111.293785581405
1260.0,4.931949039534653,292.6457164080772,185.71988600452934,12111.293783172965
1270.0,4.931949039436849,292.6457164190552,185.71988599988103,12111.293782852848
1280.0,4.931949040067417,292.6457163482776,185.7198860298509,12111.293784916783
1290.0,4.931949040697763,292.645716277525,185.71988605981016,12111.293786979986
1300.0,4.931949040176791,292.6457163360011,185.7198860350494,12111.293785274785
1310.0,4.9319490394025,292.64571642291094,185.71988599824866,12111.293782740431
1320.0,4.931949039346727,292.64571642917105,185.719885995598,12111.293782557888
1330.0,4.931949040079447,292.64571634692726,185.71988603042314,12111.29378495619
1340.0,4.9319490408015385,292.64571626587633,185.71988606474315,12111.293787319706
1350.0,4.931949040228952,292.6457163301458,185.71988603752916,12111.293785445561
1360.0,4.931949039316643,292.64571643254715,185.7198859941688,12111.293782459466
1370.0,4.9319490392198055,292.6457164434167,185.71988598956622,12111.293782142498
1380.0,4.931949040053694,292.645716349818,185.7198860291991,12111.293784871896
1390.0,4.931949040927314,292.64571625175955,185.7198860707204,12111.293787731342
1400.0,4.931949040432348,292.64571630731643,185.71988604719573,12111.293786111268
1410.0,4.931949039745516,292.64571638440896,185.71988601455212,12111.293783863202
1420.0,4.931949039731006,292.64571638603763,185.71988601386246,12111.293783815709
1430.0,4.931949040280366,292.6457163243757,185.71988603997224,12111.293785613809
