Switchingtimes,FinalTime,IPTGpre,IPTG
0,1305.016667,1,1
147.9483333,1305.016667,1,0
177.95,1305.016667,1,1
327.95,1305.016667,1,0
357.95,1305.016667,1,1
507.95,1305.016667,1,0
537.95,1305.016667,1,1
687.95,1305.016667,1,0
717.95,1305.016667,1,1
867.95,1305.016667,1,0
897.95,1305.016667,1,1
1047.95,1305.016667,1,0
1077.95,1305.016667,1,0.25
