time,ST1,ST2,ST3,ST4
0,2487.287656,1023.082935,46.97610873,16.75030313
5.016666667,1846.308866,752.4248294,48.26090107,17.68163762
10.01666667,2146.644754,642.2034816,49.5130358,16.15467677
15.03333333,2306.781137,514.7521452,42.10335404,13.52802666
20.03333333,2377.664875,496.5541616,44.81406514,14.15996536
25.03333333,2056.208654,429.6867116,48.621207,14.78393827
30.03333333,1693.257344,312.2820081,42.57903955,13.60684057
35.03333333,2048.433273,416.6432681,50.28662546,16.00099902
40.03333333,1803.248317,337.0263888,40.67793755,13.82255938
45.01666667,1439.786781,259.5178576,41.83443184,12.47621196
50.03333333,1821.727102,329.6611635,40.98562948,14.1117041
55.03333333,2239.428471,369.1450687,40.03939193,13.07698358
60.03333333,2051.042608,343.2451933,40.10720062,11.05597101
65.03333333,1584.121693,254.0958889,38.08807128,9.94132162
70.03333333,1561.259398,236.5583312,32.18233954,10.16247806
75.01666667,1692.317497,263.4474263,37.33215768,10.83948329
80.01666667,1560.475668,234.062167,38.24420019,11.26796144
85.03333333,1264.010722,210.7705365,27.86330952,9.770811
90.01666667,1829.842537,279.6601173,40.17949994,11.15366515
95.03333333,1831.17006,276.4688328,32.57596596,9.603340162
100.0333333,1893.622646,295.0918969,37.06728178,9.554862723
105.0333333,871.0632452,154.1143736,20.77289942,7.719158065
110.0166667,1311.984163,196.5801698,33.20400168,10.75107462
115.0166667,1584.98791,235.0164384,38.59324608,11.42265161
120.0166667,1396.390179,213.0605414,41.11100939,11.31968002
125.1333333,948.8529663,161.099489,36.91064543,11.31480558
130.0166667,1194.223391,187.2819089,59.6238347,17.28344204
135.1333333,1210.396724,191.0349209,74.46406922,24.38496063
140.0333333,874.7051399,151.8460906,103.3475487,35.38278605
145.0333333,946.6976626,166.2946413,167.1121881,51.77166273
150.0166667,1036.308914,195.4488997,204.5541129,60.48880637
155.0166667,895.1671373,162.5729721,260.947089,71.8002908
160.0333333,854.1716638,175.225226,324.3175935,95.09668177
165.0166667,719.1797048,140.241266,323.021964,88.86238722
170.0333333,774.2657321,163.0518181,368.7795494,103.8625741
175.0166667,780.5885286,174.3147402,428.7226942,117.5920783
180.0166667,575.9827617,131.9475528,385.6097384,106.2367216
