time,ST1,ST2,ST3,ST4
0,1592.872451,388.6325696,32.43142408,16.13906111
5.016666667,1325.993961,322.2149248,38.17195698,16.75857164
10.01666667,1572.271482,347.8278903,40.8068162,16.3607204
15.01666667,1809.124724,345.3830003,33.86299388,14.92234833
20.01666667,1662.616479,348.3469617,37.42599582,15.2070749
25.01666667,1281.209925,289.4898591,37.72297649,15.41361758
30.01666667,1823.532928,366.7474645,33.44338398,16.38465104
35.03333333,1253.665821,299.6909811,36.70839245,14.47061105
40.01666667,1480.708324,338.1369697,35.45596219,14.83525916
45.01666667,1257.791859,288.209622,34.86912008,13.82593822
50.01666667,1439.334586,319.423853,35.1035694,11.33590763
55.01666667,1434.500458,311.344863,32.85496477,13.05860605
60.01666667,1663.851567,364.2453942,29.66493722,12.39453798
65.01666667,1657.802161,363.4693558,35.41936945,11.7293456
70.01666667,1221.369089,283.2196081,29.16940411,13.47072203
75.01666667,1231.631317,276.9978523,28.451037,10.28640678
80.01666667,1387.17727,308.0478203,34.95742196,11.53081033
85.01666667,479.4246117,120.3092657,12.74405343,9.464669296
90.01666667,1430.950831,293.5817964,31.89678384,12.39454949
95.01666667,1347.707914,266.6317087,24.74124627,10.44975778
100.0166667,1138.180795,237.0427707,27.70772587,12.03078845
105.0166667,1357.362218,267.7694452,29.82256316,12.6680182
110.0166667,1415.828651,272.1928751,27.01849062,11.72916402
115.0166667,1019.69846,202.1436198,28.47583397,11.97981569
120.0166667,1273.875027,257.3382065,33.5989,11.49330983
125.0166667,1098.867244,216.3083962,28.26939729,12.33150356
130.0166667,1212.851696,219.5707687,27.84287367,12.38016826
135.0166667,1328.714723,239.3803777,30.14676163,12.3632554
140.0166667,968.6525288,181.417035,25.94081741,12.47331393
145.0166667,1375.397056,251.1945664,28.42792774,12.69166593
150.0166667,1321.908629,244.5905858,29.92982722,13.3126594
155.0166667,1015.177761,184.0425965,27.96119791,12.56092017
160.0166667,1157.658426,203.0518173,30.0750209,12.26755183
165.0166667,982.3668481,157.3590098,24.12305687,11.11456081
170.0166667,1141.03344,174.2411391,31.23344723,10.28495627
175.0166667,1282.045056,181.412069,31.68243185,11.11945417
180.0166667,944.2675642,138.2491384,30.51335617,10.86017535
185.0166667,1037.447056,159.6357261,33.14485719,10.27968957
190.0333333,877.2005495,134.2568297,30.6473772,8.472485494
195.0166667,741.9805339,105.6902021,36.00131242,10.27341979
200.0333333,843.6010944,122.6310192,37.37593323,12.87679529
205.0166667,910.7647264,127.8702473,62.10942907,20.46564216
