Switchingtimes,FinalTime,IPTG_Pre,IPTG
0.0,1305.016667,1.0,1.0
147.9483333,1305.016667,1.0,0.0
177.95,1305.016667,1.0,1.0
327.95,1305.016667,1.0,0.0
357.95,1305.016667,1.0,1.0
507.95,1305.016667,1.0,0.0
537.95,1305.016667,1.0,1.0
687.95,1305.016667,1.0,0.0
717.95,1305.016667,1.0,1.0
867.95,1305.016667,1.0,0.0
897.95,1305.016667,1.0,1.0
1047.95,1305.016667,1.0,0.0
1077.95,1305.016667,1.0,0.25
