time,Cit_mrna_Theta_1,Cit_foldedP_Theta_1,Cit_fluo_Theta_1,Cit_AU_Theta_1
0.0,0.31736144636688673,18.831189670269378,11.950717894781173,823.0095719550026
5.0,1.2469567771487777,25.130246825588316,12.143201888950705,836.265358849515
10.0,1.8977909757784357,39.70391626700465,13.239503868436193,911.7643398156533
15.0,2.353457156590154,57.956712827485156,15.603560296336205,1074.5697115040866
20.0,2.6724810627963307,77.11098626496323,19.2470729516695,1325.4873398239708
25.0,2.8958381101269466,95.57032260660733,24.000463607678856,1652.8388883736664
30.0,3.052216267525787,112.49287321725313,29.617012084198013,2039.633489185319
35.0,3.16170073814569,127.50770166716391,35.83371013416812,2467.7585646934363
40.0,3.2383537025697544,140.52812619075695,42.404544995582334,2920.271964665927
45.0,3.2920204636366606,151.63048872058076,49.11661544209979,3382.5118295641278
50.0,3.329593978175875,160.97676426253477,55.79589343162556,3842.493377746153
55.0,3.355900185998971,168.76630706063736,62.307032394225246,4290.895702839011
60.0,3.374317855711728,175.2067624815591,68.55001425437855,4720.83086436528
65.0,3.3872125519266953,180.4974208765003,74.45536358824884,5127.514301318951
70.0,3.396240468658726,184.82050854648125,79.97896191239288,5507.9077080104735
75.0,3.4025611510093867,188.3374230765558,85.09704706413866,5860.374656611697
80.0,3.4069864276080493,191.18794513752695,89.80169937254479,6184.369743486713
85.0,3.410084680200039,193.4911498114245,94.0969420746572,6480.170036727014
90.0,3.4122538486108924,195.3472035262512,97.99547969980252,6748.650458603801
95.0,3.4137725406676394,196.83953986559777,101.51604097314564,6991.100799422305
100.0,3.4148358169815545,198.03710981552769,104.68126334672398,7209.0800316120885
105.0,3.41558024474517,198.9965329050921,107.51604527097504,7404.302835681663
110.0,3.416101438226611,199.76405918276345,110.0462913256069,7578.553181200471
115.0,3.416466339501557,200.37730394748755,112.29798005592855,7733.620131523781
120.0,3.4167218165506235,200.86674827018587,114.29649197694303,7871.251565479675
125.0,3.416900682796434,201.25701600244855,116.06614378868332,7993.122100196739
130.0,3.4170259116897728,201.56794720565335,117.62988330326307,8100.812081658473
135.0,3.4171135878244283,201.81549191961216,119.00910755748878,8195.79505867243
140.0,3.417174972125207,202.0124480978126,120.22357368576078,8279.431644958135
145.0,3.4172179489302317,202.16906777367282,121.2913779964816,8352.968078203021
150.0,3.417248038134546,202.29355164947904,122.22898405126588,8417.538153792153
155.0,3.4172691043480756,202.3924514861657,123.05128464157933,8474.167492950746
160.0,3.4172838533681706,202.47099608898444,123.77168606992541,8523.779346932992
165.0,3.417294179559571,202.53335447726982,124.40220591074001,8567.201329517366
170.0,3.417301409197584,202.58284798037866,124.95357772236213,8605.172628201384
175.0,3.4173064708514476,202.6221207278333,125.43535786929228,8638.35136072544
180.0,3.417310014647172,202.65327642131297,125.8560310271722,8667.321840879684
185.0,3.417312495753001,202.67798786645463,126.22311196608857,8692.601588010382
190.0,3.4173142328418282,202.69758459362845,126.54324207027088,8714.64797403779
195.0,3.4173154490241524,202.71312285817234,126.82227963295996,8733.864441788937
200.0,3.41731630050593,202.72544150222862,127.06538342226479,8750.606259923878
205.0,3.417316896650902,202.7352064878964,127.27708933524161,8765.185801868842
210.0,3.4173173140276556,202.74294637611487,127.46138021638062,8777.877354002932
215.0,3.41731760624406,202.7490805701898,127.62174906375361,8788.92146847316
220.0,3.417317810832425,202.75394178490308,127.76125595393546,8798.528883440546
225.0,3.4173179540701084,202.75779391302387,127.88257908847261,8806.884038495062
230.0,3.4173180543545847,202.76084622517303,127.98806039689708,8814.148215196412
235.0,3.4173181245664312,202.76326465081465,128.07974614428878,8820.46233359328
240.0,3.417318173723672,202.7651807367318,128.15942298626646,8825.949435220824
245.0,3.4173182081400095,202.76669875892713,128.22864990239913,8830.71688225754
250.0,3.4173182322358437,202.76790136800386,128.28878642341365,8834.858301447148
255.0,3.4173182491059797,202.76885406742062,128.34101752202946,8838.455298254621
260.0,3.4173182609171584,202.76960876661815,128.38637553280438,8841.578966419267
265.0,3.4173182691864095,202.770206599594,128.42575942754746,8844.291215393747
270.0,3.41731827497593,202.7706801606207,128.4599517469287,8846.64593637251
275.0,3.4173182790293994,202.77105527526902,128.48963343732365,8848.690024060119
280.0,3.4173182818673604,202.77135240341767,128.5153968380921,8850.464271065634
285.0,3.4173182838542493,202.77158775377376,128.53775705902572,8852.004151432771
290.0,3.4173182852452983,202.77177416806958,128.5571619422882,8853.340506688439
295.0,3.417318286219255,202.77192182091562,128.57400076973425,8854.500145489272
300.0,3.417318286901147,202.77203877027134,128.5886118091013,8855.506363304903
305.0,3.417318287378527,202.77213139885026,128.60128894411673,8856.37939901326
310.0,3.4173182877127757,202.7722047648957,128.61228749666995,8857.136835855852
315.0,3.4173182879467965,202.77226287356018,128.62182920495414,8857.793944267232
320.0,3.4173182881106223,202.77230889657943,128.63010660451602,8858.36398358456
325.0,3.4173182882253377,202.77234534850464,128.6372869130786,8858.85846958353
330.0,3.4173182883056468,202.77237421895657,128.6435152693223,8859.28739752336
335.0,3.417318288361871,202.77239708461158,128.64891766864858,8859.659444323912
340.0,3.4173182884012423,202.77241519489854,128.65360349797018,8859.98214312897
345.0,3.417318288428798,202.77242953793194,128.65766764913894,8860.262028851586
350.0,3.417318288448098,202.77244089817717,128.66119252416243,8860.50477626725
355.0,3.417318288461606,202.77244989514026,128.66424957579747,8860.71530610987
360.0,3.4173182884710673,202.77245702110028,128.66690085045056,8860.897891326642
365.0,3.4173182884776883,202.7724626645817,128.66920013974553,8861.05623638299
370.0,3.4173182884823263,202.7724671344634,128.67119414976875,8861.193557784947
375.0,3.4173182884855704,202.77247067436716,128.67292336469828,8861.312643554646
380.0,3.417318288487844,202.77247347818857,128.67442294033273,8861.415914764952
385.0,3.4173182884894358,202.7724756985745,128.67572333319123,8861.505468863648
390.0,3.4173182884905504,202.7724774573321,128.6768510060044,8861.583128258459
395.0,3.4173182884913293,202.77247885005477,128.67782886359362,8861.650470334727
400.0,3.417318288491876,202.77247995324365,128.67867682274272,8861.708866700743
405.0,3.4173182884922584,202.77248082685838,128.67941211119677,8861.75950377888
410.0,3.4173182884925257,202.77248151877657,128.68004970613308,8861.803413001759
415.0,3.4173182884927136,202.77248206682216,128.68060258157368,8861.841487850796
420.0,3.4173182884928446,202.7724825007687,128.68108198001724,8861.874502562656
425.0,3.4173182884929365,202.77248284455783,128.6814976818264,8861.903130681152
430.0,3.417318288493001,202.7724831167722,128.68185812931898,8861.92795360302
435.0,3.4173182884930458,202.7724833323532,128.68217067324673,8861.949477552163
440.0,3.4173182884930773,202.7724835031558,128.6824416855428,8861.968141344225
445.0,3.4173182884930995,202.7724836383647,128.68267666702087,8861.984323803505
450.0,3.4173182884931146,202.77248374546753,128.68288042019293,8861.998355664384
455.0,3.417318288493126,202.77248383032472,128.6830570951087,8862.01052272816
460.0,3.417318288493133,202.77248389748476,128.68321027702495,8862.021071900557
465.0,3.4173182884931377,202.77248395068773,128.68334310091396,8862.030219077573
470.0,3.4173182884931412,202.7724839928514,128.6834582739226,8862.038150692175
475.0,3.4173182884931452,202.77248402621436,128.68355812884752,8862.045027396965
480.0,3.417318288493148,202.77248405263407,128.6836447101906,8862.050989990572
485.0,3.4173182884931492,202.77248407358607,128.68371978925734,8862.05616045741
490.0,3.4173182884931497,202.77248409016707,128.68378488231485,8862.060643218185
495.0,3.4173182884931497,202.7724841032842,128.6838413181274,8862.064529780846
500.0,3.41731828849315,202.77248411368353,128.6838902547454,8862.067899896798
505.0,4.333626694037956,208.98150736622645,128.87366546173806,8875.137140862053
510.0,4.975158365977907,223.34687192254162,129.95433452834104,8949.559530693401
515.0,5.424311602769095,241.3387769510748,132.28463284251757,9110.04008382531
520.0,5.738775624994898,260.21927385151713,135.87609556911167,9357.373191955772
525.0,5.9589401774606445,278.4147665443806,140.56156887336095,9680.047479181712
530.0,6.113083184918044,295.0954391561152,146.09785949026866,10061.314965449586
535.0,6.221002768321378,309.8956571162105,152.22571883823616,10483.321989912409
540.0,6.296560113477969,322.7299776683348,158.7026508360918,10929.36858544494
545.0,6.349459803350816,333.67365148708717,165.31879763093227,11385.002480375299
550.0,6.386496270619081,342.8863385208364,171.9026188755121,11838.410213035122
555.0,6.412426477530141,350.56454355442463,178.32070278133014,12280.404119560624
560.0,6.430580898931205,356.9129440330865,184.47446106852277,12704.194725149986
565.0,6.443291288459602,362.1279817973079,190.29541150536073,13105.065866915067
570.0,6.452190166891367,366.38927855396304,195.74006638415585,13480.022678772932
575.0,6.458420506187484,369.8559249979458,200.78500329703832,13827.452130774689
580.0,6.462782531137553,372.66570387335867,205.42241589877324,14146.816623680952
585.0,6.465836499819942,374.9359883030282,209.65627000712286,14438.389271291888
590.0,6.467974663789908,376.76551300164004,213.4990886697015,14703.032497785478
595.0,6.469471648759691,378.23651901852077,216.96933299007742,14942.017663182032
600.0,6.470519727449359,379.4169718161806,220.08931691481277,15156.88146107356
605.0,6.4712535150595905,380.3626816596941,222.88358306999677,15349.31406742858
610.0,6.471767258933987,381.1192374968223,225.3776658475396,15521.073958109479
615.0,6.4721269446252245,381.7237170104363,227.59717249640795,15673.924626422393
620.0,6.47237877011701,382.20616560518596,229.56712080831838,15809.588971546536
625.0,6.472555079714109,382.5908551230549,231.31147995609436,15929.717677469202
630.0,6.472678518698608,382.8973421226789,232.85286977259838,16035.868503240996
635.0,6.472764941696547,383.1413486330041,234.2123814864854,16129.493937592735
640.0,6.472825448621279,383.3354896698842,235.4094898642477,16211.935148425444
645.0,6.472867811101369,383.48987072174884,236.46203257736767,16284.420561888974
650.0,6.472897470214503,383.61257531201085,237.38623788709907,16348.067768948624
655.0,6.472918235360813,383.7100615714801,238.19678573344635,16403.887732397234
660.0,6.47293277359078,383.7874835300784,238.9068908062395,16452.79050770731
665.0,6.472942952183586,383.84895061153026,239.52839891874325,16495.591879988184
670.0,6.472950078481423,383.89773668749757,240.07189022446278,16533.02047221333
675.0,6.472955067789193,383.93644810207604,240.54678450902392,16565.724996351684
680.0,6.472958560934896,383.96715848268065,240.96144517772245,16594.281414673733
685.0,6.472961006578396,383.9915167220887,241.3232795934602,16619.199849719793
690.0,6.4729627188379695,384.0108333476086,241.63883421886948,16640.9311364486
695.0,6.472963917635986,384.02614951841696,241.91388361903398,16659.8729515838
700.0,6.472964756945897,384.03829208650154,242.15351282880548,16676.37548600042
705.0,6.472965344568657,384.0479174955264,242.3621929152435,16690.74664848011
710.0,6.472965755978735,384.0555467522794,242.54384979855942,16703.256805200137
715.0,6.472966044018092,384.0615932667453,242.70192655602824,16714.143070414153
720.0,6.4729662456827715,384.0663849994713,242.83943953235456,16723.61317060236
725.0,6.472966386873984,384.0701820700646,242.9590286485843,16731.848909093158
730.0,6.47296648572588,384.0731907577349,243.06300236531226,16739.009262542404
735.0,6.472966554934489,384.0755746181306,243.15337769550771,16745.23313649494
740.0,6.472966603388807,384.077463315706,243.23191574731078,16750.64181310882
745.0,6.472966637312801,384.07895963762064,243.30015321976467,16755.341120170542
750.0,6.472966661064338,384.0801450574951,243.35943023184166,16759.42334759535
755.0,6.4729666776935995,384.08108414118834,243.4109148187701,16762.968934414766
760.0,6.472966689335964,384.08182805341306,243.45562454839677,16766.04795742964
765.0,6.4729666974869,384.08241733988297,243.49444553427233,16768.721440583508
770.0,6.472966703193843,384.08288413354484,243.5281491634871,16771.04250695773
775.0,6.472966707189458,384.0832538878077,243.55740663751766,16773.057380155336
780.0,6.472966709986713,384.08354676706443,243.58280179699898,16774.806267504067
785.0,6.472966711945245,384.0837787535686,243.60484242827806,16776.324138704305
790.0,6.472966713316515,384.08396250524373,243.6239699856389,16777.641395369108
795.0,6.472966714276467,384.08410804612197,243.640568127668,16778.78445889775
800.0,6.472966714948642,384.08422332409833,243.6549703353384,16779.776295109965
805.0,6.472966715419227,384.0843146295467,243.66746629492772,16780.636853818098
810.0,6.472966715748672,384.0843869461288,243.6783076372042,16781.383464067367
815.0,6.4729667159793705,384.0844442247908,243.68771297714153,16782.031181205708
