time,Cit_mrna_Theta_1,Cit_foldedP_Theta_1,Cit_fluo_Theta_1,Cit_AU_Theta_1,Cit_mrna_Theta_2,Cit_foldedP_Theta_2,Cit_fluo_Theta_2,Cit_AU_Theta_2,Cit_mrna_Theta_3,Cit_foldedP_Theta_3,Cit_fluo_Theta_3,Cit_AU_Theta_3
65.03333333,6.3037038611316225,337.31291483404215,142.19637915012075,9792.631887746107,6.272620598821341,331.2187122564535,136.8408127978197,8952.619815006678,6.3889650961350695,356.46521944354174,164.28942787381186,13576.935501443435
70.03333333,6.319887402689729,345.06252875222856,152.09804150815512,10474.529240748432,6.291764488518374,339.4854152293853,146.4897095916977,9583.885464951745,6.396823238369718,362.0541367407016,174.3332779389496,14406.962766650558
75.01666667,6.331217926553217,351.3669879410288,161.2727765470246,11106.36532152798,6.305408679058469,346.29961931768287,155.51915131887546,10174.624128895632,6.401946323746402,366.37045967077927,183.2868974400215,15146.892998581794
80.01666667,6.339150725449827,356.4768647530118,169.70638737984336,11687.162433690113,6.315133137137978,351.8953030205595,163.90064795106153,10722.971886370486,6.405286299468828,369.6929226362739,191.20958607514518,15801.626744929203
85.03333333,6.344704686743993,360.60561447067425,177.40608610390075,12217.417252426672,6.322063931155523,356.4756528080108,171.62686957894104,11228.449188256182,6.40746378392984,372.24332673694255,198.17613597716792,16377.344853583149
90.01666667,5.545852644519292,361.72826530308686,184.3678941907589,12696.85578859194,5.564072669040148,358.22341794396624,178.6835938025976,11690.12555382328,5.4504069864851665,371.0430974333333,204.22326304921359,16877.081539556988
95.03333333,3.9779659761530337,344.3112919145344,189.74760391551928,13067.34002533814,4.056785966079749,342.9311500338398,184.33098852578502,12059.598497371722,3.6638306691680564,344.9573595503832,207.98488000610203,17187.9428741283
100.0333333,2.8802471847475184,314.35106478569685,192.33463331350535,13245.500866905768,2.9825158916050074,315.69516434287374,187.48557842702832,12265.983153240564,2.499079136508837,304.394036368345,207.68748628552427,17163.366153550025
105.0333333,2.1117053188508907,279.30456417542547,191.78983307295928,13207.982132322584,2.216864479553426,283.19321472698255,187.79802766145096,12286.4247097476,1.7397238715667165,260.14243880986714,203.13283254097385,16786.967982824972
110.0166667,1.5736288969058545,243.62388792440908,188.3095639929283,12968.306592236797,1.6711710835310218,249.53949071757873,185.38806901733523,12128.756518003265,1.2446651380469034,217.832933737644,194.9440326906561,16110.242713032267
115.0166667,1.1969074082763393,209.8172424797719,182.34973662803208,12557.871419078629,1.2822456830056903,217.14929343225282,180.6165802946607,11816.588506046111,0.9219135081994618,180.07517980364943,184.0395247502714,15209.090381457432
120.0166667,1.7358952793859168,181.3630393421164,174.48669870887954,12016.367927063835,1.7679825866543595,189.32107996040833,173.9671263670171,11381.557233032914,1.6699732289916762,150.9219748991162,171.40360544991387,14164.85361246601
125.1333333,3.121844190607636,174.45436372608748,166.14659374990225,11442.010279867996,3.081228760208007,181.00946028342474,166.6761477876491,10904.555102119824,3.3202947090584813,151.62517849552808,159.3157683156574,13165.910544444569
130.0166667,4.092183561963339,183.2730640547759,159.0776727798445,10955.195205411965,4.017202694018423,187.40342444758312,160.30040994958438,10487.4313234948,4.396215426650437,171.41218200578533,150.30317280108326,12421.106514230547
135.1333333,4.771543737401789,200.26236296223357,154.08716318143416,10611.513996919995,4.684287983979097,201.8304772636749,155.6129994989046,10180.76401551975,5.097657784843142,198.92260524497317,145.1504379702787,11995.282714371624
140.0333333,5.247181706859531,220.7224330911229,151.3690200947786,10424.323754630223,5.159731549117943,220.0214576253572,152.85741546577904,10000.483763506596,5.55496042189283,227.901824451213,143.66788725580258,11872.764207316372
145.0333333,5.580188388629983,241.83076420245877,150.78153302172274,10383.86530780035,5.498588644629583,239.32343511382987,151.97369620148632,9942.667660001722,5.853097110778799,255.142750716285,145.24090899360596,12002.75927122839
150.0166667,5.813335146013461,261.98186280083536,152.0200021927184,10469.154910590298,5.740098130905002,258.15793778571276,152.7432487894615,9993.01456752832,6.047466174028783,279.21260901811326,149.13063597656267,12324.20766294347
155.0166667,5.9765673371218675,280.3452071738109,154.72075226990827,10655.14734925008,5.912226242297939,275.65021414053786,154.87918943987646,10132.755513227292,6.174184334642326,299.67474235166134,154.6274958799699,12778.470078577135
160.0333333,6.090850497700972,296.57179630056726,158.52083790592775,10916.84768225338,6.034905012563064,291.3773353326528,158.08058925685722,10342.202642714947,6.256797749908261,316.6204828532845,161.12002547858575,13315.014984371835
