time,mRNA_Theta_1,Prot_Theta_1
0.0,10.0,100.0
1.0,164.23998138373778,258.8388369983076
2.0,257.79125903808625,572.6775932530763
3.0,314.5329771314858,860.758633050066
4.0,348.94856886487867,1079.4007297115768
5.0,369.82268027373834,1231.7448521358413
6.0,382.48346888534115,1333.0119341837715
7.0,390.16262510730945,1398.4171420263576
8.0,394.82026874601206,1439.8773586040115
9.0,397.64527258256186,1465.8285286980501
10.0,399.35872413971146,1481.9300949233286
11.0,400.3979851062435,1491.8585700081858
12.0,401.0283286357853,1497.9534564517564
13.0,401.41065116948033,1501.6829749289302
14.0,401.6425416724655,1503.9597742192407
15.0,401.78319045041917,1505.347342474658
16.0,401.8684982896713,1506.191919694608
17.0,401.9202401379305,1506.7055183151144
18.0,401.9516230750432,1507.0176313513202
19.0,401.9706577438819,1507.2072068412558
20.0,401.9822029447237,1507.322312282165
21.0,401.98920574475767,1507.3921845270606
22.0,401.9934524566888,1507.4345816974442
23.0,401.9960285609449,1507.46031128487
24.0,401.9975912680273,1507.4759242132989
25.0,401.99853942416007,1507.4853994051862
26.0,401.99911406521386,1507.491142975912
27.0,401.99946265287696,1507.4946275722891
28.0,401.99967396678846,1507.496740142677
29.0,401.99980187722656,1507.4980190018612
30.0,401.9998795658208,1507.4987957703381
31.0,401.99992694816234,1507.4992695306187
32.0,401.99995565798247,1507.4995566029536
33.0,401.9999730617827,1507.4997306293428
34.0,401.999983663299,1507.4998366373334
35.0,401.99999009167425,1507.4999009181788
36.0,401.9999939525518,1507.499939526157
37.0,401.9999962737012,1507.4999627371963
38.0,401.99999769712116,1507.4999769709916
39.0,401.9999985884343,1507.4999858840367
40.0,401.9999991429485,1507.4999914293303
41.0,244.61271610953202,1310.3007437578983
42.0,149.15299165154366,974.2784099295077
43.0,91.25545420292201,673.2312521178363
44.0,56.14489183123441,446.95215061631507
45.0,34.87175926706133,290.1061343142915
46.0,22.054543632051978,186.27291773060628
47.0,14.60430262844389,119.78788671850063
48.0,11.215538788869077,79.3459285280185
49.0,11.99652409207908,59.01738987658155
50.0,15.20666388980947,55.04685186824374
51.0,16.82496818475885,58.42725310170432
52.0,16.764906673993547,61.07822635688213
53.0,16.347505206321955,61.564260216925874
54.0,16.127597086463656,61.11928589046986
55.0,16.114445402464035,60.72807092269001
56.0,16.1678886408922,60.62501401054113
57.0,16.201911105611682,60.67313401068491
58.0,16.2066066927325,60.728443285897555
59.0,16.200015903576656,60.746674891809164
60.0,16.19499845643933,60.741949375052364
