time,mRNA_Theta_1,Prot_Theta_1
0.0,500.0,1500.0
1.0,461.4400046408708,1658.1876882434572
2.0,438.052185287223,1668.6490328985362
3.0,423.86675576235086,1636.5835723839919
4.0,415.2628578803593,1599.8758950809831
5.0,410.0443300439564,1569.856599614308
6.0,406.87913287209585,1548.164448296141
7.0,404.9593438659255,1533.4417916645868
8.0,403.7949329797085,1523.8085358379408
9.0,403.0886820040632,1517.6495623057451
10.0,402.6603196431003,1513.771919048244
11.0,402.400504485479,1511.3561896524907
12.0,402.2429184805754,1509.8622986434652
13.0,402.147337647055,1508.9433220333206
14.0,402.08936488568867,1508.380144281407
15.0,402.054202594808,1508.0359578405657
16.0,402.0328755808996,1507.826029160656
17.0,402.01994027335866,1507.6981772752877
18.0,402.0120944809814,1507.620394091596
19.0,402.00733573959843,1507.5731098977253
20.0,402.0044493887509,1507.5443826585301
21.0,244.61543874053376,1310.3277129497571
22.0,149.15469170612627,974.2948598022379
23.0,91.2566226736191,673.2414565245698
24.0,56.146052049597984,446.9590245111574
25.0,34.87407853609993,290.1126442509287
26.0,22.06198120389881,186.28542187696297
27.0,14.631291229718387,119.82742438015852
28.0,11.30724274061345,79.48334539213565
29.0,12.21499854387961,59.413149460268215
30.0,15.47234297774431,55.757099553562234
31.0,17.046408629011967,59.24576413817813
32.0,16.95779227621976,61.864819407074215
33.0,16.535678197734732,62.30775467600616
34.0,16.320347449651063,61.846790639134404
35.0,16.31135343668474,61.45834467520577
36.0,16.365922986983588,61.361530683208834
37.0,16.39940480031535,61.4124995932038
38.0,16.40347128451358,61.46769336064045
39.0,16.396669173092135,61.48505583003655
40.0,16.39170641448621,61.47985961572995
41.0,17.04487911534616,62.35181945168398
42.0,17.126659610199095,63.377329974189365
43.0,17.000457652916793,63.703301043306865
44.0,16.90785334175815,63.60793601285769
45.0,16.88949051535092,63.46469056516692
46.0,16.90441749985517,63.409281306657654
47.0,16.917898473362108,63.416951631689436
48.0,16.92145114200458,63.436387226473215
49.0,16.919788107282894,63.445286521830205
50.0,16.917879671800495,63.44502431495942
51.0,16.917252954438755,63.44245059313497
52.0,16.917418478351888,63.441065545169025
53.0,16.917682976025255,63.440983317638526
54.0,16.917787523369647,63.441314302151866
55.0,16.917774614574984,63.441524000290485
56.0,16.91773878767719,63.44155250379302
57.0,16.917722025318998,63.44151142659455
58.0,16.91772230859684,63.44148039236369
59.0,16.917727033304253,63.4414740114886
60.0,16.91772964153681,63.44147884281283
