x1,x2,x3,x4
2.92561,9.86808,0.778016,2.8802
3.14323,9.68816,0.761199,2.81791
3.12859,9.70487,0.761258,2.82429
2.94823,10.2055,0.826335,3.01613
3.03966,10.2081,0.81016,3.03583
3.10175,10.3008,0.83913,3.03453
3.24923,9.77808,0.813719,3.03368
3.26506,9.86779,0.798632,2.99417
3.30146,10.0015,0.776234,2.97072
3.24869,9.92383,0.784913,2.93556
3.14086,9.8066,0.794728,3.0039
3.0808,9.86919,0.792717,2.95663
2.97426,9.64385,0.742664,2.82265
2.88504,9.7724,0.739321,2.81287
3.21585,10.2209,0.846179,3.22444
3.13957,10.1743,0.852866,3.07196
3.1866,9.61596,0.827265,3.02433
3.16483,9.63834,0.819234,2.97044
3.20726,9.60575,0.802347,3.02375
3.14004,10.0767,0.814992,3.04451
3.01164,9.76789,0.775953,2.94105
3.10623,9.93369,0.804309,3.00976
3.02635,9.80244,0.798664,2.9893
2.98301,9.74499,0.80342,2.99443
2.95885,9.93065,0.774681,2.90261
2.94441,9.8286,0.777688,2.94132
2.97273,9.9009,0.782972,2.91505
2.93732,10.0016,0.772645,2.92997
2.98003,9.955,0.788746,2.93755
2.96877,9.52041,0.765005,2.88311
2.90102,9.92924,0.757134,2.84282
3.0029,9.83631,0.785448,2.93932
3.02905,9.69103,0.77012,2.92357
2.9632,9.82221,0.753938,2.90591
3.10268,10.0441,0.805214,3.02001
3.12474,9.89271,0.771339,2.88705
2.85353,9.65715,0.763444,2.89375
2.89996,9.65615,0.763664,2.88689
3.0286,9.88332,0.794537,2.97391
3.0545,9.99158,0.773711,2.88803
3.15362,10.0362,0.800712,2.99524
3.0344,9.7486,0.78879,2.95838
3.06642,9.866,0.8077,3.04147
3.12553,9.76397,0.808783,3.0223
3.00387,9.95661,0.804341,3.04159
3.02079,10.0789,0.82814,3.11555
3.03703,10.1266,0.809591,2.98305
3.22568,9.66607,0.792981,2.9706
3.08269,9.83473,0.791791,2.98836
2.92686,9.69672,0.785452,2.95215
2.90398,10.0025,0.787991,2.95538
3.04058,10.0278,0.773967,2.90091
3.07128,9.97204,0.807449,3.02961
3.0139,9.73011,0.766271,2.92086
3.05617,9.61347,0.795195,2.94727
2.96868,9.86794,0.825214,3.10805
3.09884,10.0652,0.796473,2.96347
3.27619,10.3115,0.797472,2.94915
3.26808,10.4636,0.804484,2.93572
3.19463,10.1827,0.787426,2.90211
2.98956,9.71722,0.814616,2.99778
2.98268,9.73982,0.783227,2.9459
3.11969,9.97472,0.80523,2.99852
2.9846,9.70215,0.77165,2.94542
3.32225,10.1916,0.795569,2.90057
3.3958,10.0672,0.753543,2.84571
3.33066,10.1671,0.770324,2.80858
3.00161,9.96036,0.812082,3.04918
2.86441,9.6802,0.801232,3.1367
2.80867,9.78161,0.829967,3.05649
