time,Cit_mrna_Theta_1,Cit_foldedP_Theta_1,Cit_fluo_Theta_1,Cit_AU_Theta_1,Cit_mrna_Theta_2,Cit_foldedP_Theta_2,Cit_fluo_Theta_2,Cit_AU_Theta_2,Cit_mrna_Theta_3,Cit_foldedP_Theta_3,Cit_fluo_Theta_3,Cit_AU_Theta_3
150.0166667,5.81333513773028,261.9818635847719,152.0200019377325,10469.154893030242,5.740098127821157,258.15793820426967,152.74324858978397,9993.014554464684,6.0474661606835465,279.2126101198336,149.13063567667328,12324.207638160524
155.0166667,5.976567329893179,280.345207832425,154.72075207049502,10655.147335517142,5.912226238437724,275.65021458864436,154.87918925540086,10132.755501158219,6.174184318287749,299.6747436243847,154.62749559031394,12778.470054639887
160.0333333,6.090850483605697,296.57179747998856,158.52083760805516,10916.84766173985,6.034905000747671,291.37733640473505,158.08058894048804,10342.202622016917,6.256797734508506,316.6204839714878,161.120025276124,13315.014967640353
165.0166667,6.170863134880588,310.60139930017164,163.0896752766634,11231.489607694846,6.122340342388261,305.1985472897695,162.06316751707283,10602.75728513656,6.3106572339780405,330.39359836119525,168.1167671244057,13893.228149241635
170.0333333,6.2268821036447175,322.5376580850992,168.14332537133825,11579.519110009933,6.184657069090561,317.1422726261781,166.5749218299598,10897.932534655667,6.3457707262652026,341.43304768889766,175.24376327906123,14482.205592057462
175.0166667,6.266102461765643,332.5686217380429,173.4484277362476,11944.865364934769,6.229071311221077,327.33193100640466,171.4023798241189,11213.762258339602,6.368662822943835,350.187410018221,182.23072490964125,15059.61053306381
180.0166667,6.293561669476642,340.9174088482856,178.8202977203838,12314.809702602768,6.260726133312381,335.9381442193281,176.3712482605223,11538.843563488173,6.383587242645081,357.0718893764123,188.89320659397083,15610.200338374769
185.0333333,6.312786580153805,347.8126671230837,184.11802664182926,12679.648170915749,6.28328708808296,343.14875030569357,181.34391377664903,11864.173287295442,6.393317162764865,362.4499686756236,195.11467319786382,16124.344503940421
190.0166667,6.326246443811103,353.47184689268477,189.23833434013315,13032.26817953458,6.299366673635078,349.15069587069894,186.21536974934162,12182.881517518377,6.399660548385171,366.6287594005576,200.83032932018466,16596.688315258492
195.0166667,6.335670052854452,358.09262581489963,194.10920605489454,13367.710291072006,6.310826885328149,354.11974417998556,190.90854655181812,12489.926081038031,6.4037960951465065,369.861500469758,206.01343708738085,17025.022145152307
